Operation Name,Operation Type,Address,City,Total Floor Area,Avg hrs per wk,Annual Flow,Electricity,Natural Gas,GHG Emissions,Energy Intensity
#55 Police Division,Police stations and associated offices and facilities,101 Coxwell Ave,Toronto,23519,168,0,582342.9419,13505.22094,"51,148",30.8
0 Parkside Dr Pole 140,Other,0 Parkside Dr Pole 140,Toronto,0,168,0,1827.832675,0,80,
0 Wickman Rd-Near Fordhs,Street lighting,0 Wickman Rd,Toronto,0,70,0,280396.8971,0,"12,337",
1 Norton Ave,Parking garages,1 Norton Ave,Toronto,16996,168,0,7424.055928,0,327,0.4
1 Simcoe St,Street lighting,1 Simcoe St,Toronto,0,100,0,625739.913,0,"27,533",
10 Arundel Ave,Parking garages,10 Arundel Ave,Toronto,11496,168,0,0,0,314,0.6
10 Daventry Rd,Other,10 Daventry Rd,Toronto,0,100,0,142.892218,0,6,
10 Kingsdale Ave,Parking garages,10 Kingsdale Ave,Toronto,0,168,0,1485.039021,0,65,
100 Rosedale Valley,Other,100 Rosedale Valley Rd,Toronto,2691,100,0,6209.533358,0,273,2.3
101 Old Sheppard,Other,101 Old Sheppard Ave,Toronto,0,168,0,6933.502602,0,305,
1030 Weston Rd,Street lighting,1030 Weston Rd,Toronto,0,168,0,721.542143,0,32,
11 Grenview Blvd,Parking garages,11 Grenview Blvd,Toronto,0,168,0,1321.534845,0,58,
110 Queen St W,Parking garages,110 Queen St W,Toronto,598473,168,0,4733859.827,2037.333333,"212,140",7.9
111 St Andrews Rd,Other,111 St Andrews Road,Toronto,0,100,0,221.288776,0,10,
1119 Queen St W,Parking garages,1119 Queen St W,Toronto,7352,168,0,3151.656316,0,139,0.4
113 Spadina Lot,Parking garages,113 Spadina Ave,Toronto,0,168,0,6163.635196,0,271,
113 Spadina Rd,Other,113 Spadina Rd,Toronto,0,100,0,14322.78086,3046.683871,"6,388",
115 Broadview Ave,Parking garages,115 Broadview Ave,Toronto,26135,168,0,11687.14917,0,514,0.4
1155 King St W,Parking garages,1155 King St W,Toronto,0,168,0,28123.49234,0,"1,237",
117 Hammersmith Ave,Parking garages,117 Hammersmith Ave,Toronto,9171,168,0,3716.294577,0,164,0.4
119 Annette Park Lighting,Other,119 Annette St,Toronto,0,100,0,938.73291,0,41,
12 Woodycrest Ave,Parking garages,12 Woodycrest Ave,Toronto,14198,168,0,3950.59702,0,174,0.3
1231 Queen St W,Other,1231 Queen St W,Toronto,0,100,0,1356.171467,0,60,
132 Wellington St W,Parking garages,132 Wellington St W,Toronto,0,168,0,719396.9053,0,"31,653",
1325 Queen St W,Parking garages,1325 Queen St W,Toronto,12303,168,0,11888.29314,0,523,1
134 Spadina Rd,Other,134 Spadina Rd,Toronto,3369,100,0,17045.4986,9406.225172,"18,528",34.5
135 Greenlaw Ave,Parking garages,135 Greenlaw Ave,Toronto,13197,168,0,6067.19577,0,267,0.5
136 Spadina Rd,Other,136 Spadina Rd,Toronto,2626,100,0,5246.884579,0,231,2
139 Marcos Blvd,Other,139 Marcos Blvd,Toronto,0,100,0,287.521708,0,13,
14 Castlefield Ave,Parking garages,14 Castlefield Ave,Toronto,37620,168,0,35289.2932,0,"1,553",0.9
14 John St,Parking garages,14 John St,Toronto,0,168,0,197.139965,0,9,
146 Harrison St,Parking garages,146 Harrison St,Toronto,15812,168,0,0,0,252,0.4
149 Hiawatha Rd,Parking garages,149 Hiawatha Rd,Toronto,1399,168,0,5159.495509,0,227,3.7
15 Wellesley St E,Parking garages,15 Wellesley St E,Toronto,41603,168,0,46727.3947,0,"2,056",1.1
16 Fuller Ave,Parking garages,16 Fuller Ave,Toronto,19547,168,0,8026.688945,0,353,0.4
16 Lipton Ave,Parking garages,16 Lipton Ave,Toronto,0,168,0,4425.565974,0,195,
16 Rosehill Ave,Parking garages,16 Rosehill Ave,Toronto,0,168,0,1009290.483,0,"44,409",
1608 Danforth Ave,Parking garages,1608 Danforth Ave,Toronto,8708,168,0,6803.658172,0,299,0.8
161 Spadina Rd,Other,161 Spadina Rd,Toronto,0,100,0,1958.943758,6642.825806,"12,641",
1699 Lake Shore Blvd W,Other,1699 Lake Shore Blvd W,Toronto,0,168,0,6513.409501,0,287,
170 Sumach Park,Other,170 Sumach St,Toronto,0,100,0,3148.216433,0,139,
1739 Bayview,Other,1739 Bayview Ave,East York,0,168,0,911.427956,0,40,
17MILL,Other,17 MILL,Toronto,0,100,0,3655.132828,393.545455,905,
18 Applebaum,Other,18 Applebaum Terrace,Toronto,0,100,0,2856.843402,0,126,
18 Ferrier Ave,Parking garages,18 Ferrier Ave,Toronto,6900,168,0,3063.999329,0,135,0.4
18 Ossington Ave,Parking garages,18 Ossington Ave,Toronto,6469,168,0,3238.578351,0,142,0.5
180 Roxborough,Other,180 Roxborough,Toronto,0,100,0,1084.768798,0,48,
1845 Kingston Rd,Other,1845 Kingston Rd,Toronto,2400,100,0,475.571188,0,21,0.2
2 Church St,Parking garages,2 Church St,Toronto,125023,168,0,2191470.254,0,"96,425",17.5
2 Civic Centre Court,"Administrative offices and related facilities, including municipal council chambers",2 Civic Centre Court,Toronto,46145,70,0,1321972.139,11755.91855,"80,385",31.3
20 Augusta Ave,Parking garages,20 Augusta Ave,Toronto,0,168,0,18878.39772,0,831,
20 Castle Knock Rd,Parking garages,20 Castle Knock Rd,Toronto,0,168,0,10657.35865,0,469,
20 Charles St E,Parking garages,20 Charles St E,Toronto,0,168,0,358965.2877,8713.827586,"32,264",
20 Saint Andrews St,Parking garages,20 Saint Andrews St,Toronto,0,168,0,0,0,"55,412",
200 Mount Olive Dr,Other,200 Mount Olive Dr,Toronto,0,100,0,7734.392471,0,340,
2000 Lake Shore,Street lighting,2000 Lake Shore Blvd W,Toronto,0,100,0,7411.322286,0,326,
201 CLAREMONT ST,Parking garages,201 CLAREMONT ST,Toronto,0,100,0,6651.932123,0,293,
21 Bedford Park Ave,Parking garages,21 Bedford Park Ave,Toronto,0,168,0,4863.655677,0,214,
22 Glendonwynne Rd,Parking garages,22 Glendonwynne Rd,Toronto,0,168,0,6727.778105,0,296,
23 Chester Ave,Parking garages,23 Chester Ave,Toronto,0,168,0,5175.449407,0,228,
23 Peele Ave,Street lighting,23 Peel Ave,Toronto,0,100,0,510930.7077,0,"22,481",
230 Medland St,Parking garages,230 Medland St,Toronto,0,168,0,7192.551647,0,316,
235 DANFORTH,Other,235 DANFORTH,Toronto,0,100,0,61078.1465,0,"2,687",
2454 Bloor St W,Parking garages,2454 Bloor St W,Toronto,0,168,0,456.956811,0,20,
25 Glenforest Rd,Parking garages,25 Glenforest Rd,Toronto,0,168,0,4961.818181,0,218,
253 Macpherson Ave,Parking garages,253 Macpherson Ave,Toronto,0,168,0,3344.872232,0,147,
26 Alvin Ave,Parking garages,26 Alvin Ave,Toronto,0,168,0,35492.15548,0,"1,562",
265 Armadale Ave,Parking garages,265 Armadale Ave,Toronto,0,168,0,9057.08502,0,399,
265 Durie St,Parking garages,265 Durie St,Toronto,0,168,0,6587.431423,0,290,
266 Besborough,Other,266 Besborough Dr,Toronto,0,100,0,45.652,0,2,
268 Rhodes Ave,Parking garages,268 Rhodes Ave,Toronto,0,168,0,2568.931873,0,113,
2696 Eglinton Ave W,Parking garages,2696 Eglinton Ave W,Toronto,14790,168,0,27108.74356,0,"1,193",1.8
279 Wilson Heights Blvd,Other,279 Wilson Heights Blvd,Toronto,0,168,0,553.008678,0,24,
29 Erindale Ave,Parking garages,29 Erindale Ave,Toronto,0,168,0,10049.91019,0,442,
29 Old Mill Terr,Other,29 Old Mill Terr,Toronto,0,168,0,53644.61831,0,"2,360",
291 Mill Rd,Other,291 Mill Rd,Toronto,0,100,0,0,0,0,
295 Unwin Ave,Other,295 Unwin Ave,Toronto,0,100,0,15696.87402,0,691,
3001 McCowan Rd,Other,3001 McCowan Rd,Toronto,0,100,0,211.363495,0,9,
301 Scott Rd,Parking garages,301 Scott Rd,Toronto,0,168,0,109363.7452,0,"4,812",
3045 Brimley Rd,Other,3045 Brimley Rd,Toronto,0,100,0,136.76316,0,6,
3079 Kennedy Rd,Other,3079 Kennedy Rd,Toronto,0,100,0,152.700563,0,7,
3084 Weston Rd,Other,3084 Weston Rd,Toronto,0,100,0,48847.32531,0,"2,149",
31 Langford Ave,Parking garages,31 Langford Ave,Toronto,0,168,0,2675.730074,0,118,
31 Yorkville Ave,Parking garages,31 Yorkville Ave,Toronto,0,168,0,1577782.28,0,"69,422",
33 Queen St E,Parking garages,33 Queen St E,Toronto,173030,168,0,490356.8735,0,"21,576",2.8
330 University Ave Fountain,Other,330 University Ave,Toronto,0,100,0,60425.51946,0,"2,659",
33A Riverwood Pky,Other,33A Riverwood Pky,Toronto,0,168,0,0,0,274,
34 Park  Home Ave - Lighting,Other,34 Park  Home Ave - Lighting,North York,0,100,0,3791.449946,0,167,
342 Prince Edward Dr,Parking garages,342 Prince Edward Dr N,Toronto,0,168,0,10608.79984,0,467,
349 Keele St,Parking garages,349 Keele St,Toronto,0,168,0,4866.577894,0,214,
35 Bellevue Ave,Parking garages,35 Bellevue Ave,Toronto,0,168,0,22123.58392,0,973,
351 Lippincott St,Parking garages,351 Lippincott St,Toronto,0,168,0,16849.98692,0,741,
3601 Eglinton Ave W,Other,3601 Eglinton Ave W,Toronto,0,100,0,34103.40022,0,"1,501",
37 Queen St E,Parking garages,37 Queen St E,Toronto,0,168,0,1409655.994,0,"62,025",
376 Clinton St,Parking garages,376 Clinton St,Toronto,0,168,0,1833.112243,0,81,
3885 Yonge St Lot,Parking garages,3885 Yonge St,Toronto,0,168,0,52002.34038,0,"2,288",
40 Dundas St E,Other,40 Dundas St E,Toronto,0,100,0,0,0,0,
40 Larch St,Parking garages,40 Larch St,Toronto,0,168,0,0,0,"8,438",
40 Russell Hill Rd,Other,40 Russell Hill Rd - ngas,Toronto,3735,100,0,2928.001676,1994.689655,"3,899",6.4
400 Keele St,Parking garages,400 Keele St,Toronto,0,168,0,4691.922235,0,206,
4005 Eglinton Ave W,Other,4005 Eglinton Ave W,Etobicoke,0,168,0,25411.66613,0,"1,118",
402 Sewells Rd,Street lighting,402 Sewells Rd,Toronto,0,100,0,217.153445,0,10,
407 Fairlawn,Other,407 Fairlawn Ave,Toronto,0,100,0,247.3135,0,11,
44 Richmond St E,Parking garages,44 Richmond St E,Toronto,0,168,0,52403.38452,0,"2,306",
45 Aberdeen Ave,Parking garages,45 Aberdeen Ave,Toronto,0,168,0,3630.983497,0,160,
45 Dunfield Ave,Other,45 Dunfield Ave,Toronto,0,100,0,308.168647,0,14,
453 Spadina Rd,Parking garages,453 Spadina Rd,Toronto,0,168,0,4296.010131,0,189,
470 Windermere Ave,Parking garages,470 Windermere Ave,Toronto,0,168,0,5870.61438,0,258,
480 Mill Rd,Other,480 Mill Rd,Toronto,0,168,0,85877.27447,0,"3,779",
50 Wabash,Other,50 Wabash,Toronto,2992,100,0,16603.7456,4203.728067,"8,676",20.4
5063 Yonge St Unit Underg,Other,5063 Yonge St Unit Underg,North York,0,100,0,14.760697,0,1,
51 Benshire Dr,Other,51 Benshire Dr,Toronto,0,100,0,99.783497,0,4,
51 Dockside Dr,Other,51 Dockside Dr,Toronto,0,100,0,95842.72065,0,"4,217",
5184 Yonge St Unit Undrg,Other,5184 Yonge St,Toronto,0,100,0,67.711768,0,3,
519 Church Park,Other,519 Church St,Toronto,0,168,0,28595.8491,0,"1,258",
519 Church St Comm Ctr,Community centres,519 Church St,Toronto,15554,100,0,513681.9132,0,"22,602",33
53 Strachan Ave,Social housing,53 Strachan Ave,Toronto,49213,100,0,387251.4669,0,"17,039",7.9
5341 Dundas St W,Other,5341 Dundas St W,Toronto,1862,100,0,2081.831382,0,92,1.1
55 John St LED Ltg,Other,55 John St,Toronto,0,168,0,4031405.761,0,"177,382",
55 John St Ltg Beacon,Other,55 John St,Toronto,0,168,0,515053.5377,0,"22,662",
55 York St,Parking garages,55 York St,Toronto,0,168,0,0,0,161,
557 Palmerston Ave,Parking garages,557 Palmerston Ave,Toronto,0,168,0,5412.63226,0,238,
5575 Yonge St,Other,5575 Yonge St,Toronto,0,100,0,3504.540959,0,154,
567 ARLINGTON,Other,567 ARLINGTON,Toronto,0,100,0,23.057904,0,1,
573 Gerrard St E,Parking garages,573 Gerrard St E,Toronto,0,168,0,8441.953626,0,371,
653 Gerrard St E,Parking garages,653 Gerrard St E Pole C 179,Toronto,0,168,0,541.502824,0,24,
670 Pape Ave,Parking garages,670 Pape Ave,Toronto,0,168,0,8272.233228,0,364,
675 Manning Ave,Parking garages,675 Manning Ave,Toronto,0,168,0,3111.412709,0,137,
68 Amroth Ave,Parking garages,68 Amroth Ave,Toronto,0,168,0,4824.981259,0,212,
697 Lansdowne Ave,Parking garages,697 Lansdowne Ave,Toronto,0,168,0,5000.660835,0,220,
7 Bartlett Ave,Parking garages,7 Bartlett Ave,Toronto,0,168,0,3296.979315,0,145,
70 Dunfield Ave,Parking garages,70 Dunfield Ave,Toronto,0,168,0,972399.5929,0,"42,786",
708 Millwood Rd,Parking garages,708 Millwood Rd,Toronto,0,168,0,1845.641534,0,81,
709 Millwood Rd,Parking garages,709 Millwood Rd,Toronto,0,168,0,66380.96041,0,"2,921",
71 Ellis Park Rd,Other,71 Ellis Park Rd,Toronto,0,168,0,3655.668431,0,161,
715 Bloor St E-Pole 133 Viewndr/,Street lighting,715 Bloor ST E,Toronto,0,70,0,911.424243,0,40,
72 Clinton St,Parking garages,72 Clinton St,Toronto,0,168,0,297188.8326,0,"13,076",
720 Pape Ave,Parking garages,720 Pape Ave,Toronto,0,168,0,9256.918583,0,407,
734 Middlefield Rd,Other,734 Middlefield Rd,Toronto,0,100,0,220.11753,0,10,
737 Rhodes Ave,Parking garages,737 Rhodes Ave,Toronto,0,168,0,4741.716742,0,209,
751 Brimorton Dr,Other,751 Brimorton Dr,Toronto,0,100,0,196.111325,0,9,
77 Whitbread,Other,77 Whitbread Cres,Toronto,0,100,0,3135.523815,0,138,
8 Barkwin Dr,Other,8 Barkwin Dr,Toronto,0,168,0,3347.823334,0,147,
8 Carling Ave,Parking garages,8 Carling Ave,Toronto,0,168,0,9196.68608,0,405,
8001 Finch,Other,8001 Finch,Toronto,0,168,0,3044.696446,0,134,
803 Richmond St W,Parking garages,803 Richmond St W,Toronto,0,168,0,4564.617647,0,201,
804 Carlaw Ave,Parking garages,804 Carlaw Ave,Toronto,0,168,0,3049.792529,0,134,
81 Lee Ave,Parking garages,81 Lee Ave,Toronto,0,168,0,8459.383968,0,372,
833 Royal York,Street lighting,833 Royal York,Toronto,0,70,0,2089.283735,0,92,
85 Bay St,Parking garages,85 Bay St,Toronto,0,168,0,73838.34325,0,"3,249",
873 Brimley Rd,Other,873 Brimley Rd,Toronto,0,100,0,205.526616,0,9,
9 Emerson Ave,Parking garages,9 Emerson Ave,Toronto,0,168,0,4780.286034,0,210,
9 Salem Ave,Parking garages,9 Salem Ave,Toronto,0,168,0,2270.855805,0,100,
90 Eaton Ave,Parking garages,90 Eaton Ave,Toronto,0,168,0,1843.114959,0,81,
91 Via Italia,Parking garages,91 Via Italia,Toronto,0,168,0,190017.4946,0,"8,361",
912 Eglinton Ave W,Parking garages,912 Eglinton Ave W,Toronto,0,168,0,2151.098786,0,95,
924 Markham Rd,Other,924 Markham Rd,Toronto,0,100,0,206.560183,0,9,
946 Scarborough Golf Club Rd,Other,946 Scarborough Golf Club Rd,Toronto,0,100,0,205.074195,0,9,
99 Cedarvale Ave,Parking garages,99 Cedarvale Ave,Toronto,0,168,0,4297.044012,0,189,
Abbotsford Park,Other,79 Ellerslie Ave,Toronto,0,100,0,2666.859391,0,117,
Adams Park,Other,2 Rozell Rd,Toronto,0,100,0,133354.8711,0,"5,868",
Adelaide Street Office,Social housing,67 Adelaide St. E.,Toronto,15888,168,0,272958.5371,35999.26844,"80,049",41.1
Advance Traffic Management,Other,0 Various Locations,Toronto,0,168,0,1078391.59,0,"47,449",
Agincourt Arena and R.C,Indoor recreational facilities,31 Glen Watford Dr,Toronto,93398,100,0,2113400.107,286863.2168,"635,161",55.1
Agincourt District,Public libraries,155 Bonis Ave,Toronto,26996,70,0,604439.2283,5288.531194,"36,591",24.5
Albert Campbell District,Public libraries,496 Birchmount Rd,Toronto,26102,70,0,516216.8364,12470.47668,"46,283",24.8
Albert Standing Park,Other,45 Sheppard Ave W,Toronto,0,100,0,24901.93283,0,"1,096",
Albion,Public libraries,1515 Albion Rd,Toronto,32281,70,0,355036.8666,38239.78966,"87,895",23.5
Albion Arena,Indoor sports arenas,1501 Albion Rd,Toronto,32658,100,0,429397.8971,27068.34672,"70,053",21.9
Albion Comm Ctr & Pool,Indoor swimming pools,1485 Albion Rd,Toronto,20688,100,0,485652.9326,142466.8067,"290,631",96.2
Albion Gardens,Other,25 Deanlea Crt,Toronto,0,100,0,4554.44411,0,200,
Albion Road Childcare Centre,Other,1545 Albion Rd,Toronto,5543,100,0,57147.73718,16160.93132,"33,059",41.1
Aldwych Park,Other,134 Aldwych Ave,Toronto,0,100,0,35758.35233,0,"1,573",
Alex Duff Pool,Other,779 Crawford S.,Toronto,0,100,0,452648.8332,22026.12299,"61,546",
Alexander Muir Park Gardens,Other,2877 Yonge St,Toronto,0,100,0,26412.8137,1928.119385,"4,806",
Alexandra Park,Other,275 Bathurst St,Toronto,22873,100,0,376087.4227,25329.261,"64,420",28.1
Algonguin Island Sewage Pumping Station,Facilities related to the pumping of sewage,16 Wyandot Ave,Toronto,75,168,11.45,12070.28262,0,531,160.9
Allan Gardens,Other,160 Gerrard St E,Toronto,25177,168,0,224893.737,131891.4783,"259,170",64.2
Allen Road,Street lighting,195 Glen Park Ave,Toronto,0,70,0,594407.0579,0,"26,154",
Alness Service Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",21 Alness St.,Toronto,25715,70,0,172248.3383,33409.47925,"70,723",20.4
Ambulance Headquarters,Ambulance stations and associated offices and facilities,4330 Dufferin St,Toronto,143494,168,0,3835041.013,249446.5195,"640,196",45.1
Amesbury Arena,Indoor sports arenas,155 Culford Rd,Toronto,26942,100,0,738951.823,98642.4029,"218,948",66.1
Amesbury Community Center,Community centres,1507 Lawrence Ave W,Toronto,37975,100,0,279705.4208,34050.17046,"76,662",16.8
Amesbury Park,Other,1501 Lawrence Ave W,Toronto,0,100,0,22919.53958,0,"1,008",
Amesbury Park Library,Public libraries,1565 Lawrence Ave W,Toronto,6318,70,0,130441.5461,7972.662,"20,808",34
Amos Waites Park,Other,2445 Lake Shore Blvd W,Toronto,1356,100,0,73596.79949,5932.363635,"14,450",100.5
Ancaster C.C.,Community centres,41-47 Ancaster Rd,Toronto,7513,100,0,107663.3982,21894.69857,"46,118",45.1
Ancaster Childcare Centre,Other,45 Ancaster Rd,Toronto,7018,100,0,143747.0366,11215.66606,"27,522",37.4
Annette R.C,Community centres,333 Annette St,Toronto,20774,100,0,381560.5815,0,"16,789",18.4
Annette Street,Public libraries,145 Annette St.,Toronto,7804,70,0,166817.2258,7846.11828,"22,169",32
Anniversary Park,Other,410 Parliament St,Toronto,0,100,0,3419.561419,0,150,
Anthony Road School Park,Other,111A Whitley Ave,Toronto,0,100,0,540.728648,0,24,
Antibes Park,Indoor recreational facilities,140 Antibes Dr,Toronto,18492,100,0,423786.5443,55878.1786,"124,256",54.8
Archives and Records Centre,"Administrative offices and related facilities, including municipal council chambers",255 Spadina Rd,Toronto,39590,70,0,524189.8923,42355.72144,"103,117",24.5
Armour Height C.C,Community centres,2140 Avenue Rd,Toronto,19773,100,0,204763.0415,26571.94008,"59,231",24.5
Armour Heights Pumping Station,Facilities related to the pumping of water,226 Wilson Ave,Toronto,5780,168,20485.928,2921300.915,0,"128,537",505.4
Art Eggleton Park,Other,326 Harbord St,Toronto,0,100,0,1268.029728,0,56,
Ashbridges Bay Park,Other,1675 Lakeshore Blvd E,Toronto,721,100,0,51146.26179,0,"2,250",70.9
Ashtonbee Reservoir Park,Other,21 Ashtonbee Rd.,Toronto,0,100,0,4055.213185,0,178,
Asquith Green Social Housing,Social housing,21 Park Rd,Toronto,6329,168,0,106596.2664,9902.652405,"23,406",33.4
Assessment & Referral Ctr (129 Peter),Social housing,342 RICHMOND ST W,Toronto,11780,168,0,250164.1023,22362.25967,"53,272",41.3
Atlantic Ave Storage Bldg,"Administrative offices and related facilities, including municipal council chambers",98 Atlantic Ave,Toronto,43002,70,0,106317.0581,29302.95338,"60,061",9.7
Avondale Park,Other,2 Everson,Toronto,0,100,0,3492.111115,0,154,
Avonshire Park,Other,125 Harrison Garden Blvd,Toronto,0,100,0,5223.5055,0,230,
Avonshire Parkette,Other,1A Oakburn Ave,North York,0,100,0,596.062853,0,26,
Baby Point Sewage Pumping Station,Facilities related to the pumping of sewage,61 Humberview Rd,Toronto,0,168,244.337223,54609.79552,0,"2,403",
Baird Park W.Pool,Other,275 Keele St,Toronto,1970,100,0,16277.73656,5200.110417,"10,544",36.1
Banbury C.C.,Community centres,120 Banbury Rd,Toronto,9537,100,0,115643.6223,13163.23487,"29,967",26.7
Barbara Frum,Public libraries,20 Covington Rd,Toronto,44319,70,0,940903.398,41821.16882,"120,442",31.2
Barbara Hall Park,Other,5 Cawthra Sq,Toronto,0,100,0,4569.5884,0,201,
Bartonville Park,"Storage facilities where equipment or vehicles are maintained, repaired or stored",5 Bartonville Ave E,Toronto,3606,70,0,32737.87751,12165.12148,"24,433",44.7
Bathurst St,Other,Bathurst St,Toronto,0,168,0,6522.987998,0,287,
Bathurst-Wilson Parkette,Other,3749 Bathurst St,Toronto,0,100,0,347.197011,0,15,
Baycrest Arena,Indoor sports arenas,160 Neptune Dr,Toronto,27060,100,0,561611.376,63060.99706,"143,896",45.4
Bayview,Public libraries,2901 Bayview Ave,Toronto,6340,70,0,129895.0576,0,"5,715",20.5
Bayview Arena,Indoor sports arenas,3230 Bayview Ave,Toronto,28417,100,0,550886.085,53396.9292,"125,159",39.2
Bayview Pumping Station,Facilities related to the pumping of water,8127 Bayview Ave,Toronto,0,168,16660.23,373.465,1785.258065,"3,391",
BAYVIEW RESERVOIR CARD,Other,8127 Bayview Ave,Thornhill,0,168,0,50467.55065,0,"2,221",
Beaches,Public libraries,2161 Queen St. E.,Toronto,7804,70,0,134797.0406,10111.87424,"25,043",31
Beaches Park Wading Pool,Other,0 Coxwell Av Pool,Toronto,0,100,0,2.0752,0,0,
Beaches R.C,Indoor recreational facilities,6 Williamson Rd,Toronto,14445,100,0,186269.6918,0,"8,196",12.9
Beare Road Landfill,Other,8132 Finch Ave E,Scarborough,5942,70,0,105396.6507,0,"4,637",17.7
Beaty Ave Parkette,Other,66 Beaty Ave,Toronto,0,100,0,2284.794212,0,101,
Beaty Parkette,Other,1575 King St W,Toronto,0,100,0,6386.597423,0,281,
Beaumonde Heights Park,Other,61 Honbury Rd,Toronto,0,100,0,790.927252,0,35,
Beecroft Parking Lot,Parking garages,95 Beecroft Rd,Toronto,120297,168,0,711287.6453,1444.941176,"34,028",6
Bellbury A.I.R,Other,65 Van Horne Ave,Toronto,2303,100,0,44861.21244,0,"1,974",19.5
Bellevue Childcare Centre,Other,95 Bellevue Ave,Toronto,6706,100,0,12572.19435,0,553,1.9
Belmar Park,Other,70 Montclava Rd.,Toronto,0,100,0,59.143201,0,3,
Ben Nobleman,Other,1075 Eglinton Ave W,Toronto,0,100,0,3745.188655,0,165,
Bendale,Public libraries,1515 Danforth Rd,Toronto,8503,70,0,108274.4242,8801.542857,"21,399",23.7
Bendale Acres,Long-term care,2920 Lawrence Ave.E.,Toronto,210327,168,0,3508954.594,575434.6881,"1,241,966",45.6
Bennington Heights Clubhouse,Indoor recreational facilities,457 Heath Ave,Toronto,1432,100,0,5175.884434,2447.364374,"4,853",21.7
Bentworth Park Yard - Bldg 1,"Storage facilities where equipment or vehicles are maintained, repaired or stored",140 Bentworth Ave,Toronto,5554,70,0,22146.59729,10421.9625,"20,672",23.8
Bentworth Park Yard - Bldg 2,"Storage facilities where equipment or vehicles are maintained, repaired or stored",140 Bentworth Ave,Toronto,6330,70,0,40522.6829,8199.129861,"17,279",20.1
Berczy Park,Other,45 Wellington St E,Toronto,0,100,0,9041.058567,0,398,
Beresford Park,Other,401 Beresford Av,Toronto,183,100,0,11648.86106,0,513,63.7
Bering Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",320 Bering Ave,Toronto,53798,70,0,446615.5809,99113.40852,"206,975",27.8
Bermondsey Transfer Station,Other,188 Bermondsey Dr.,Toronto,48976,70,0,1226034.723,7156.992742,"67,472",26.6
Berner Trail C.C,Community centres,120 Berner Trail,Toronto,10204,100,0,130007.2866,20848.63097,"45,124",34.3
Berry Rd Sewage Pumping Station,Facilities related to the pumping of sewage,132 Berry Rd,Toronto,7244,168,64.62946594,12227.92915,0,538,1.7
Bestview Park,Other,115 Bestview Dr,Toronto,0,100,0,10315.07989,0,454,
Bill Johnston Park,Other,65 Western Battery Rd,Toronto,0,100,0,4.1504,0,0,
Birchmount C.C,Community centres,93 Birchmount Rd,Toronto,46166,100,0,1523471.842,214261.7389,"471,987",82
Birchmount Parks Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",101 Ridgetop Rd,Toronto,15317,70,0,101638.4307,21446.39394,"45,006",21.4
Birchmount Residence,Social housing,1673 Kingston Rd,Toronto,5199,168,0,265318.3891,40303.58529,"87,848",132.9
