Operation Name,Operation Type,Address,City,Total Floor Area,Avg hrs per wk,Annual Flow,Electricity,Natural Gas,GHG Emissions,Energy Intensity
#11 Police Division - NEW,Police stations and associated offices and facilities,2054 Davenport Rd,Toronto,62000,168,0,1159026.483,39211.12165,"125,106",25.4
#12 Police Division,Police stations and associated offices and facilities,200 Trethewey Dr,Toronto,25780,168,0,642755.5222,9369.762499,"45,990",28.8
#13 Police Division,Police stations and associated offices and facilities,1435 Eglinton Ave.W.,Toronto,20344,168,0,529545.3046,51447.79164,"120,536",52.7
#14 Police Division - NEW,Police stations and associated offices and facilities,11 St. Annes Rd.,Toronto,64200,168,0,1450237.353,31858.79587,"124,024",27.8
#21 Police Division,Police stations and associated offices and facilities,791 Islington Ave,Toronto,7492,168,0,180343.2024,15846.79671,"37,886",46.4
#22 Police Division,Police stations and associated offices and facilities,3699 Bloor St.W.,Toronto,32270,168,0,493995.2565,78515.80645,"170,131",41
#23 Police Division New,Police stations and associated offices and facilities,5230 Finch Ave W.,Toronto,57264,168,0,890713.1403,63298.04927,"158,825",27.2
#31 Police Division,Police stations and associated offices and facilities,40 Norfinch Dr,Toronto,35489,168,0,617007.4318,55372.92138,"131,803",33.9
#32 Police Division,Police stations and associated offices and facilities,30 Ellerslie Ave,Toronto,47652,168,0,699127.9889,74428.58794,"171,432",31.2
#33 Police Division,Police stations and associated offices and facilities,50 Upjohn Rd,Toronto,27889,168,0,413774.591,37660.86385,"89,385",29.1
#41 Police Division,Police stations and associated offices and facilities,2222 Eglinton Ave.E.,Toronto,51080,168,0,713576.2121,91360.00201,"204,068",32.9
#42 Police Division,Police stations and associated offices and facilities,242 Milner Ave.,Toronto,36620,168,0,618248.772,32844.15355,"89,278",26.4
#43 Police Division,Police stations and associated offices and facilities,4331 Lawrence Ave E,Toronto,55450,168,0,899780.3084,97988.80349,"224,789",34.9
#51 Police Division New,Police stations and associated offices and facilities,51 Parliament St,Toronto,56000,168,0,1407126.23,119717.3351,"288,179",47.7
#52 Police Division,Police stations and associated offices and facilities,255 Dundas St.W.,Toronto,71677,168,0,1010744.297,84765.09614,"204,679",26.6
#53 Police Division,Police stations and associated offices and facilities,75 Eglinton Ave.W.,Toronto,52183,168,0,760163.4929,48320.53413,"124,773",24.3
#54 Police Division,Police stations and associated offices and facilities,41 Cranfield Rd,Toronto,23358,168,0,495223.3564,55449.35877,"126,589",46.3
