Press TAB to move to input areas. Press UP or DOWN ARROW in column A to read through the document.,Energy Consumption and Greenhouse Gas Emissions Reporting - for 2015,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36
101 Old Sheppard,Other,101 Old Sheppard Ave,Toronto,M2J 3X8,0,Square feet,168,0,5277.9981740000003,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232.231919656,NA,NA,101OLDSHEPPARD,Water Misc Service
1030 Weston Rd,Street lighting,1030 Weston Rd,Toronto,M6N 3S2,0,Square feet,168,0,719.22162200000002,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.645751367999999,NA,NA,1030WESTONRD,Streetlighting
10 Arundel Ave,Parking garages,10 Arundel Ave,Toronto,M4K 1P3,11496,Square feet,168,0,6660.3251139999993,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,293.05430501599994,0.57936263616515671,NA,10ARUN,Parking Lots and Garages
10 Daventry Rd,Other,10 Daventry Rd,Toronto,M1H 1X9,0,Square feet,100,0,200.98310499999999,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.84325662,NA,NA,10DAVE,Outdoor Recreational Facilities
10 Kingsdale Ave,Parking garages,10 Kingsdale Ave,Toronto,M2N 3W1,0,Square feet,168,0,6449.6031140000005,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,283.78253701599999,NA,NA,10KING,Parking Lots and Garages
Redlands Sewage Pumping Station,Facilities related to the pumping of sewage,10 Redland Cres E,Toronto,M1M 1B6,0,Square feet,168,531.82011829999999,160470.50078199999,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7060.7020344079992,NA,301.73956171880792,10REDL,Sewage Pumping Facilities
110 Queen St W,Parking garages,110 Queen St W,Toronto,M5H 2N1,598473,Square feet,168,0,5775449.2300000004,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254119.76612000001,9.6503489620614324,NA,110QUE,Parking Lots and Garages
1119 Queen St W,Parking garages,1119 Queen St W,Toronto,M6J 1J3,7352,Square feet,168,0,2953.7488410000001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,129.964949004,0.40176294182356331,NA,1119QU,Parking Lots and Garages
111 St Andrews Rd,Other,111 St Andrews Road,Toronto,M1P 4C6,0,Square feet,100,0,224.51745900000003,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8787681960000011,NA,NA,111STA,Outdoor Recreational Facilities
113 Spadina Rd,Other,113 Spadina Rd,Toronto,M5R 2T8,0,Square feet,100,0,8249.2913420000004,kWh,12844.276129,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24638.650702857998,NA,NA,113SPAD,Leasing
113 Spadina Lot,Parking garages,113 Spadina Ave,Toronto,M5V 2K2,0,Square feet,168,0,6475.5783540000002,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,284.92544757600001,NA,NA,113SPADINA,Parking Lots and Garages
1155 King St W,Parking garages,1155 King St W,Toronto,M6K 3E4,0,Square feet,168,0,0,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1114.6071786959999,NA,NA,1155KI,Parking Lots and Garages
Marylin Bell Park Water Equipment Shed,"Storage facilities where equipment or vehicles are maintained, repaired or stored",1155 Lake Shore Blvd W,Toronto,M6K 3C1,700,Square feet,70,0,22908.208553999997,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,1007.9611763759998,32.726148578384247,NA,1155LA,Storage Facilities
115 Broadview Ave,Parking garages,115 Broadview Ave,Toronto,M4M 1H1,26135,Square feet,168,0,12992.145118,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,571.65438519199995,0.49711877757558792,NA,115BRO,Parking Lots and Garages
Riverwood Sewage Pumping Station,Other,115 Riverwood Pky,Toronto,M8Y 4G3,0,Square feet,168,0,24382.734446999999,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1072.8403156679999,NA,NA,115RIV,Water Misc Service
Littles Park,Other,11743 Sheppard Ave. E.,Toronto,M1B 5M3,0,Square feet,100,0,220.73403900000002,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.7122977160000001,NA,NA,11743S,Outdoor Recreational Facilities
Manchester Park,Other,75 Manchester St,Toronto,M8V 3V7,0,Square feet,100,0,7814.4233180000001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,343.83462599199999,NA,NA,117BUR,Outdoor Recreational Facilities
117 Hammersmith Ave,Parking garages,117 Hammersmith Ave,Toronto,M4E 2W5,9171,Square feet,168,0,4254.8705380000001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187.214303672,0.46395030712324076,NA,117HAM,Parking Lots and Garages
119 Annette Park Lighting,Other,119 Annette St,Toronto,M6P 1N8,0,Square feet,100,0,1267.514312,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.770629727999996,NA,NA,119ANN,Outdoor Recreational Facilities
11 Grenview Blvd,Parking garages,11 Grenview Blvd,Toronto,M8X 2J9,0,Square feet,168,0,5857.446269,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257.72763583599999,NA,NA,11GREN,Parking Lots and Garages
Port Union Sewage Pumping Station,Facilities related to the pumping of sewage,11 Lakeridge Dr,Toronto,M1C 5E3,0,Square feet,168,320.40701230000002,57896.612350000003,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2547.4509434000001,NA,180.69783545085286,11LAKE,Sewage Pumping Facilities
#14 Police Division - NEW,Police stations and associated offices and facilities,11 St. Annes Rd.,Toronto,M6J 2C1,64200,Square feet,168,0,1454125.54,kWh,33734.603016000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127739.92346024,28.197185378708411,NA,11SA,Police Stations
Martin Grove Sewage Pumping Station,Facilities related to the pumping of sewage,1200 Martin Grove Rd,Toronto,M9W 4X2,0,Square feet,168,42.525818180000009,22384.596804999997,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,984.92225941999982,NA,526.37882190544008,1200MA,Sewage Pumping Facilities
1231 Queen St W,Other,1231 Queen St W,Toronto,M6K 1L5,0,Square feet,100,0,1307.9133530000001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.548187532,NA,NA,1231QU,Outdoor Recreational Facilities
Islington Storm Pumping Station,Other,1276 Islington Ave,Etobicoke,M9A 3J9,450,Square feet,168,36.148791250000002,34285.415808999998,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1508.5582955959999,76.190130366442673,948.45657294002058,1270IS,Storm Pumping Facilities
Thomas Riley Park,Other,1278 Islington Ave,Toronto,M9A 3J9,0,Square feet,100,0,21814.691301000003,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,959.84641724400001,NA,NA,1278IS,Outdoor Recreational Facilities
Assessment & Referral Ctr (129 Peter),Social housing,342 RICHMOND ST W,Toronto,M5V 1X2,11780,Square feet,168,0,245220.193833,kWh,23162.544999999998,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54566.898578651992,41.574054827620429,NA,129PET,Shelters & Housing
#12 Police Division,Police stations and associated offices and facilities,200 Trethewey Dr,Toronto,M6M 4C2,25780,Square feet,168,0,636025.55423999997,kWh,9850.8151470000012,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46603.165014389997,28.705227979544354,NA,12PD,Police Stations
12 Woodycrest Ave,Parking garages,12 Woodycrest Ave,Toronto,M4J 3A5,14198,Square feet,168,0,3772.635624,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165.99596745599999,0.2657170970076842,NA,12WOOD,Parking Lots and Garages
1325 Queen St W,Parking garages,1325 Queen St W,Toronto,M6K 1L8,12303,Square feet,168,0,13069.915341,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,575.07627500399997,1.062340063316312,NA,1325QU,Parking Lots and Garages
Berry Rd Sewage Pumping Station,Facilities related to the pumping of sewage,132 Berry Rd,Toronto,M8Y 1W2,7244,Square feet,168,69.266571429999999,12351.214140999999,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,543.45342220399993,1.7050339045268157,178.3149555319668,132BER,Sewage Pumping Facilities
132 Wellington St W,Parking garages,132 Wellington St W,Toronto,M5J 2H7,0,Square feet,168,0,715417.55137899995,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31478.372260675995,NA,NA,132WEL,Parking Lots and Garages
134 Spadina Rd,Other,134 Spadina Rd,Toronto,M5V 2L4,3369,Square feet,100,0,19299.342238000001,kWh,10509.039032999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20711.254830841997,38.658563164483979,NA,134SPA,Leasing
135 Greenlaw Ave,Parking garages,135 Greenlaw Ave,Toronto,M6E 1B8,13197,Square feet,168,0,6950.2677880000001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,305.81178267199999,0.52665732722960645,NA,135GRE,Parking Lots and Garages
Leonard Linton Park,Other,135 Vanderhoof,Toronto,M4G 1P2,0,Square feet,100,0,5708.5638870000002,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251.176811028,NA,NA,135VAN,Outdoor Recreational Facilities
136 Spadina Rd,Other,136 Spadina Rd,Toronto,M5V 2L4,2626,Square feet,100,0,4771.0914730000004,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209.92802481200002,1.8168740870326752,NA,136SPA,Leasing
139 Marcos Blvd,Other,139 Marcos Blvd,Toronto,M1P 2S2,0,Square feet,100,0,203.54710599999999,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9560726639999988,NA,NA,139MARC,Outdoor Recreational Facilities
Norman Jewison Park,Other,13 Isabella St,Toronto,M1T 3T7,0,Square feet,168,0,5005.1924819999995,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220.22846920799995,NA,NA,13ISAB,Outdoor Recreational Facilities
#13 Police Division,Police stations and associated offices and facilities,1435 Eglinton Ave.W.,Toronto,M6C 3M8,20344,Square feet,168,0,522653.35652900004,kWh,51048.267794000007,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119477.97381793601,52.180457751082869,NA,13PD,Police Stations
Greyabbey Trail Sewage Pumping Station,Facilities related to the pumping of sewage,144 Greyabbey Trail,Toronto,M1E 1V9,1001,Square feet,168,50.952326650000003,0,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2347.9794791640002,53.3100822452963,1047.3200310184773,144GRE,Sewage Pumping Facilities
146 Harrison St,Parking garages,146 Harrison St,Toronto,M6J 2A4,15812,Square feet,168,0,4831.4612850000003,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212.58429654,0.30555789375718995,NA,146HAR,Parking Lots and Garages
149 Hiawatha Rd,Parking garages,149 Hiawatha Rd,Toronto,M4L 2J6,1399,Square feet,168,0,5047.6345150000006,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222.09591866000002,3.6080454230239312,NA,149HIA,Parking Lots and Garages
14 Castlefield Ave,Parking garages,14 Castlefield Ave,Toronto,M4R 1G4,37620,Square feet,168,0,37023.658541000004,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1629.040975804,0.98415238719414999,NA,14CAST,Parking Lots and Garages
Cloud Gardens,Other,14 Temperance St.,Toronto,M5H 1YR,6243,Square feet,168,0,103324.64493699999,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50756.734425782401,50.419485883223651,NA,14TEMP,Greenhouses
Richview Park,Other,150 Brampton Rd,Toronto,M9R 1Y5,0,Square feet,100,0,9434.77304,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,415.13001376,NA,NA,150BRA,Outdoor Recreational Facilities
Elmcrest Park,Other,150 Elmcrest Rd,Toronto,M9C 3S1,0,Square feet,100,0,41473.940090000004,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1824.85336396,NA,NA,150ELM,Outdoor Recreational Facilities
Rotary Peace Park,Other,153 Lake Shore Dr,Toronto,M8V 2A1,1647,Square feet,100,0,7716.4363899999998,kWh,2384.7917649999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4846.7796370099995,19.970925443016011,NA,153LAK,Outdoor Recreational Facilities
Danforth Avenue Parkettle,Other,1549 Danforth Ave,Toronto,M4J 1N4,0,Square feet,100,0,2298.7420849999999,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.14465173999999,NA,NA,1549DA,Outdoor Recreational Facilities
Sisken Trail Park,Other,157 Staines Rd,Toronto,M1X 1V3,0,Square feet,100,0,922.035574,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.569565255999997,NA,NA,157STAINES,Outdoor Recreational Facilities
15 Wellesley St E,Parking garages,15 Wellesley St E,Toronto,M4Y 3A6,41603,Square feet,168,0,34870.282165000004,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1534.2924152600001,0.83817098425215386,NA,15WELL,Parking Lots and Garages
1608 Danforth Ave,Parking garages,1608 Danforth Ave,Toronto,M4C 1H6,8708,Square feet,168,0,7133.5312100000001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,313.87537323999999,0.81919624862732054,NA,1608DA,Parking Lots and Garages
161 Dynevor Rd,Other,161 Dynevor Rd,Toronto,M6E 3X5,0,Square feet,100,0,2871.039201,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126.32572484399999,NA,NA,161DYNEVOR,Leasing
161 Spadina Rd,Other,161 Spadina Rd,Toronto,M5R 2T8,0,Square feet,100,0,3048.4071480000002,kWh,7215.7096790000005,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13771.821207822,NA,NA,161SPAD,Leasing
Woodbine Park,Other,1695 Queen St E,Toronto,M4L 1G5,0,Square feet,100,0,228197.301057,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10040.681246508,NA,NA,1695QU,Outdoor Recreational Facilities
1699 Lake Shore Blvd W,Other,1699 Lake Shore Blvd W,Toronto,M6S 5A3,0,Square feet,168,0,9754.7460199999987,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,429.2088248799999,NA,NA,1699LA,Water Misc Service
Osler Walkway,Other,16A Osler St,Toronto,M6P 4A2,0,Square feet,100,0,17537.565063000002,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,771.65286277200005,NA,NA,16AOSLER,Outdoor Recreational Facilities
16 Fuller Ave,Parking garages,16 Fuller Ave,Toronto,M6R 2C4,19547,Square feet,168,0,8287.9349419999999,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,364.66913744799996,0.42400212181215829,NA,16FULL,Parking Lots and Garages
16 Lipton Ave,Parking garages,16 Lipton Ave,Toronto,M4K 3S7,0,Square feet,168,0,7336.2980000000007,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322.79711200000003,NA,NA,16LIPT,Parking Lots and Garages
16 Rosehill Ave,Parking garages,16 Rosehill Ave,Toronto,M4T 2B7,0,Square feet,168,0,1093677.3600000001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48121.80384,NA,NA,16ROSE,Parking Lots and Garages
170 Sumach Park,Other,170 Sumach St,Toronto,M5A 0C3,0,Square feet,100,0,2909.518626,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128.018819544,NA,NA,170SUMACH,Outdoor Recreational Facilities
1739 Bayview,Other,1739 Bayview Ave,East York,M4G 3C1,0,Square feet,168,0,908.869776,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.990270144,NA,NA,1739BA,Sewage Pumping Facilities
17MILL,Other,17 MILL,Toronto,M2P 1B3,0,Square feet,100,0,2536.7011590000002,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111.614850996,NA,NA,17MILL,Leasing
180 Roxborough,Other,180 Roxborough,Toronto,M4W 1X8,0,Square feet,100,0,1950.2513550000001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.811059619999995,NA,NA,180ROXBOROUH,Outdoor Recreational Facilities
1845 Kingston Rd,Other,1845 Kingston Rd,Toronto,M1N 1G8,2400,Square feet,100,0,408.56818800000002,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.977000272000002,0.17023745431977083,NA,1845KING,Leasing
High Park - Lot Cytor,Other,1873 Bloor St W- Lot Cytor,Toronto,M6P 3K7,0,Square feet,168,0,36322.286149,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1598.180590556,NA,NA,1873BLTO,Sewage Pumping Facilities
