Press TAB to move to input areas. Press UP or DOWN ARROW in column A to read through the document.,Energy Consumption and Greenhouse Gas Emissions Reporting - for 2017,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36
Fire Services - East Command Offices,"Administrative offices and related facilities, including municipal council chambers",3 Dohme Ave,East York,M4B 1Y8,25898,Square feet,70,0,137418.228668,kWh,22153.381817999998,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47031.614137884419,14.336492012515285,NA,DA3,Administrative Offices
Forestry W District Office,"Administrative offices and related facilities, including municipal council chambers",1 Bathurst St,Toronto,M5V 2N8,8999,Square feet,70,0,86176.777138000005,kWh,22131.600340999998,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45145.543828762289,35.538933608247042,NA,FWDO,Administrative Offices
Former Hydro Building,"Administrative offices and related facilities, including municipal council chambers",1652 Keele St,Toronto,M6M 3W3,22497,Square feet,70,0,433208.67296599998,kWh,5095.9704869999996,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25276.276401225026,21.647657651191221,NA,KS1652,Administrative Offices
Golden Mile Employment & Social Services,"Administrative offices and related facilities, including municipal council chambers",1880 Eglinton Ave E,Scarborough,M1L 2L1,45000,Square feet,70,0,499083.80422600004,kWh,57983.004939999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128116.75160660461,24.693285652886356,NA,1880EGLINTON,Administrative Offices
Health Office,"Administrative offices and related facilities, including municipal council chambers",662 Jane St,Toronto,M6N 4A7,2540,Square feet,70,0,12945.063125000001,kWh,1065.239296,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2489.6467107182402,9.5238503368909999,NA,HOJS,Administrative Offices
Metro Hall,"Administrative offices and related facilities, including municipal council chambers",55 John St,Toronto,M5V 3C6,787186,Square feet,70,0,8690881.4483550005,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1879927.9247333752,28.91568822671918,NA,MH,Administrative Offices
North District Office,"Administrative offices and related facilities, including municipal council chambers",275 Merton St,Toronto,M4S 1A7,66747,Square feet,70,0,437159.11829199997,kWh,39868.871874999997,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91476.225470730744,12.855208064324332,NA,NDO,Administrative Offices
North York Central Office,"Administrative offices and related facilities, including municipal council chambers",1117 Finch Ave.W,North York,M3J 2P7,18934,Square feet,70,0,434366.58272800001,kWh,19831.304724000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53310.528249343559,33.998229576364686,NA,NYCO,Administrative Offices
North York Civic Centre,"Administrative offices and related facilities, including municipal council chambers",5100 Yonge Street,North York,M2N 5V7,303518,Square feet,70,0,5708637.5854840009,kWh,421383.23988200002,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1006008.4800488607,33.464565661821602,NA,NYCC,Administrative Offices
Old City Hall,"Administrative offices and related facilities, including municipal council chambers",60 Queen St.W.,Toronto,M5H 2M3,350494,Square feet,70,0,2695471.4435159997,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1404775.2665840092,30.241743342998365,NA,OCH,Administrative Offices
Pape Avenue Multiuse Building,"Administrative offices and related facilities, including municipal council chambers",126 Pape Ave,Toronto,M4M 2V8,9365,Square feet,70,0,85638.054838999989,kWh,23231.588544000002,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47215.786415355367,35.332454590910444,NA,PAMB,Administrative Offices
Property Dept Workshop,"Administrative offices and related facilities, including municipal council chambers",786 Dundas St E,Toronto,M4M 1R1,39170,Square feet,70,0,119614.56185,kWh,106591.62402,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206797.1664611538,31.781362585397911,NA,PDWS,Administrative Offices
Property Maintenance Office,"Administrative offices and related facilities, including municipal council chambers",149 River St,Toronto,M5A 3P8,13487,Square feet,70,0,127005.60224099999,kWh,27474.865227000002,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56765.928403755635,30.922470496707177,NA,PMO,Administrative Offices
Public Health Building,"Administrative offices and related facilities, including municipal council chambers",175 Memorial Park Ave,Toronto,M4J 4Y6,6394,Square feet,70,0,72104.034249999997,kWh,10646.245097000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22820.310581319929,28.854247915629056,NA,MPA175,Administrative Offices
Public Health HQ,"Administrative offices and related facilities, including municipal council chambers",277 Victoria St,Toronto,M5B 1W2,111385,Square feet,70,0,1889680.717165,kWh,31349.151515000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127582.17545947034,19.936559527421103,NA,CHRO,Administrative Offices
Queen Street Office,"Administrative offices and related facilities, including municipal council chambers",1631 Queen St. E.,Toronto,M4L 1G4,25327,Square feet,70,0,312114.85057300003,kWh,37404.054284999998,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82292.242505299655,27.914136131516837,NA,QSO,Administrative Offices
Rexdale Community Hub,"Administrative offices and related facilities, including municipal council chambers",21 Panorama Crt,Etobicoke,M9V 4E3,96369,Square feet,70,0,1123136.117935,kWh,95125.03160599999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221140.97153726214,22.075063386763563,NA,21PAN,Administrative Offices
Scarborough Civic Centre,"Administrative offices and related facilities, including municipal council chambers",150 Borough Dr,Scarborough,M1P 4N7,372868,Square feet,70,0,6230563.6533220001,kWh,234291.112903,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,669380.77579029207,23.343225614273173,NA,SCCC,Administrative Offices
Scarborough West Office,"Administrative offices and related facilities, including municipal council chambers",1225 Kennedy Rd,Scarborough,M1P 4Y1,19999,Square feet,70,0,476648.435573,kWh,39833.878664000003,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92831.36463984217,44.860575027727428,NA,SWO,Administrative Offices
St Lawrence Hall,"Administrative offices and related facilities, including municipal council chambers",157 King St East,Toronto,M5C 1G9,55413,Square feet,70,0,987151.37864600006,kWh,43817.687271999996,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118777.47196500166,26.16223221352919,NA,SLH,Administrative Offices
Toronto Island Service Office,"Administrative offices and related facilities, including municipal council chambers",1 Lake Shore Ave,Toronto,M5J 2W2,20968,Square feet,70,0,100143.033517,kWh,9136.8056469999992,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20962.247526161431,9.3761162435385721,NA,TISO,Administrative Offices
Toronto Water Centre,"Administrative offices and related facilities, including municipal council chambers",60 Tiffield Rd,Scarborough,M1V 5N2,64831,Square feet,70,0,3126117.365032,kWh,143803.17451700001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385721.67773935176,71.63585728312249,NA,60TIFF,Administrative Offices
Water Revenue Office,"Administrative offices and related facilities, including municipal council chambers",77 Elizabeth St,Toronto,M5G 1P4,14768,Square feet,70,0,180400.162163,kWh,18998.215903,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42585.12660663807,25.796336085251689,NA,WRO,Administrative Offices
Wellesley Jarvis Office,"Administrative offices and related facilities, including municipal council chambers",111 Wellesley St.E.,Toronto,M4Y 3A7,52108,Square feet,70,0,1259737.9187739999,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45350.565075863989,24.175619246219288,NA,WJO,Administrative Offices
Western District Office,"Administrative offices and related facilities, including municipal council chambers",61 Edgehill Rd.,Etobicoke,M9A 4N1,4844,Square feet,70,0,28793.696560999997,kWh,14158.581945,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27933.489611293051,36.800660192197768,NA,WDO,Administrative Offices
York Civic Center,"Administrative offices and related facilities, including municipal council chambers",2700 Eglinton Ave W,Toronto,M6M 1V1,72915,Square feet,70,0,1241941.1615480001,kWh,98679.058533999996,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232169.50252218248,31.319704982079617,NA,YKCC,Administrative Offices
Ambulance Headquarters,Ambulance stations and associated offices and facilities,4330 Dufferin St,North York,M3H 5R9,143494,Square feet,168,0,3586967.4110640003,kWh,266369.11274999997,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,635149.56659835146,44.594017529574387,NA,AHQ,Ambulance Stations
EMS Workshop West,Ambulance stations and associated offices and facilities,866 Richmond St.W.,Toronto,M6J 1C9,1658,Square feet,168,0,14583.570083000001,kWh,6934.1074320000007,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13697.663070484083,52.94647498021596,NA,EMSWW,Ambulance Stations
Multi-Function Station #1,Ambulance stations and associated offices and facilities,1300 Wilson Ave.,North York,M3M 1H5,21781,Square feet,168,0,127576.96877399999,kWh,10569.655429,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24671.839597781011,10.98015192187372,NA,MFS1,Ambulance Stations
NE District Office / Station #20,Ambulance stations and associated offices and facilities,2430 Lawrence Ave E,Scarborough,M1P 2R5,7782,Square feet,168,0,293727.811835,kWh,25612.507928999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59230.026413702013,72.489569160060711,NA,LA2430,Ambulance Stations
NW District Office & Garage,Ambulance stations and associated offices and facilities,50 Toryork Dr,North York,M9L 1X6,13153,Square feet,168,0,155135.672001,kWh,14947.105882000002,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33979.751765012581,23.791465697555804,NA,50TY,Ambulance Stations
Station #10,Ambulance stations and associated offices and facilities,2015 Lawrence Ave.W.,Toronto,M9N 3V5,5005,Square feet,168,0,61059.502485999998,kWh,9522.6313179999997,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20288.189577987421,32.285269908261753,NA,AS10,Ambulance Stations
Station #11,Ambulance stations and associated offices and facilities,1135 Caledonia Rd,North York,M6A 2W9,3574,Square feet,168,0,32518.56625,kWh,10804.889214999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21696.608377843349,41.013764467350782,NA,AS11,Ambulance Stations
Station #12,Ambulance stations and associated offices and facilities,1535 Albion Rd.,Etobicoke,M9V 1B2,1938,Square feet,168,0,36345.747557000002,kWh,1565,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4281.4617620520003,27.279261917503693,NA,AS12,Ambulance Stations
Station #13,Ambulance stations and associated offices and facilities,555 Martin Grove Rd,Etobicoke,M9R 4B7,2756,Square feet,168,0,28377.286888000002,kWh,10067.363273000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20146.451664053373,48.859224269213762,NA,AS13,Ambulance Stations
Station #14,Ambulance stations and associated offices and facilities,321 Rexdale Blvd,Etobicoke,M9W 1R8,4252,Square feet,168,0,57917.869565000001,kWh,5729.7515149999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12969.794959870349,27.847049307911838,NA,AS14,Ambulance Stations
Station #18,Ambulance stations and associated offices and facilities,643 Eglinton Ave.W.,Toronto,M5N 1C5,1345,Square feet,168,0,67472.79221,kWh,14709.879232000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30373.230997798084,165.62197866711978,NA,AS18,Ambulance Stations
Station #21,Ambulance stations and associated offices and facilities,887 Pharmacy Ave,Scarborough,M1L 3K9,2799,Square feet,168,0,39517.039882999998,kWh,8744.7161720000004,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18034.863300574681,47.100024786197714,NA,AS21,Ambulance Stations
Station #22,Ambulance stations and associated offices and facilities,3100 Eglinton Ave. E.,Scarborough,M1J 2H1,2583,Square feet,168,0,42799.235403000006,kWh,3545.119318,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8275.40019171942,31.058592704033707,NA,AS22,Ambulance Stations
Station #24,Ambulance stations and associated offices and facilities,3061 Birchmount Rd,Scarborough,M1W 2S4,2659,Square feet,168,0,24869.985809999998,kWh,5452.8754550000003,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11254.092462268951,31.002151716387754,NA,AS24,Ambulance Stations
Station #28,Ambulance stations and associated offices and facilities,2900 Lawrence Ave.E.,Toronto,M1P 2TS,1905,Square feet,168,0,40286.004148,kWh,10379.105294999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21167.378687186552,78.664446681675358,NA,AS28,Ambulance Stations
Station #30 & Garage & Office,Ambulance stations and associated offices and facilities,100 Turnberry Ave,Toronto,M6N 1R1,16380,Square feet,168,0,202466.186778,kWh,49396.337160999996,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101126.51046538808,44.196075289404618,NA,AS30,Ambulance Stations
Station #31,Ambulance stations and associated offices and facilities,4219 Dundas St.W.,Etobicoke,M8X 1Y3,2831,Square feet,168,0,40930.251701000001,kWh,5044.8266670000003,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11057.095832269231,33.270005652289669,NA,AS31,Ambulance Stations
Station #32,Ambulance stations and associated offices and facilities,9 Clendenan Ave.,Toronto,M6P 2W4,3218,Square feet,168,0,19951.862766999999,kWh,4581.6732259999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9422.0258703119416,21.230427440046281,NA,AS32,Ambulance Stations
Station #33,Ambulance stations and associated offices and facilities,760 Dovercourt Rd,Toronto,M6H 2X2,3132,Square feet,168,0,32766.324838999997,kWh,6476.9735609999998,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13483.82959830009,32.293179745383995,NA,AS33,Ambulance Stations
Station #34,Ambulance stations and associated offices and facilities,674 Markham St,Toronto,M6G 2L9,13939,Square feet,168,0,63845.014858999995,kWh,56482.411963999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109597.49371881515,47.357476837673907,NA,AS34,Ambulance Stations
Station #37,Ambulance stations and associated offices and facilities,1288 Queen St.W.,Toronto,M6K 1L4,4413,Square feet,168,0,50237.894072000003,kWh,5517.4579940000003,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12290.023963213862,24.582940621805815,NA,AS37,Ambulance Stations
Station #38,Ambulance stations and associated offices and facilities,259 Horner Ave.,Etobicoke,M8Z 4Y3,5102,Square feet,168,0,69599.426213999992,kWh,18773.825264999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38170.02746137185,52.48731051987852,NA,AS38,Ambulance Stations
Station #39,Ambulance stations and associated offices and facilities,155 The East Mall,Etobicoke,M8Z 5Y5,1927,Square feet,168,0,41646.771455000002,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1499.2837723799998,21.612322253873586,NA,AS39,Ambulance Stations
Station #40,Ambulance stations and associated offices and facilities,58 Richmond St.E.,Toronto,M5C 1N7,12798,Square feet,168,0,164849.34192599999,kWh,17497.990216000002,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39175.333342769045,27.314572728139545,NA,AS40,Ambulance Stations
Station #41,Ambulance stations and associated offices and facilities,1300 Pape Ave.,Toronto,M4K 3X1,1841,Square feet,168,0,84957.880374,kWh,14369.000670000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30355.130576256306,128.54326629704244,NA,AS41,Ambulance Stations
Station #42,Ambulance stations and associated offices and facilities,1535 Kingston Rd.,Scarborough,M1N 1R5,6997,Square feet,168,0,122124.68152899999,kWh,13681.281935000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30386.68301414415,38.095617535900736,NA,AS42,Ambulance Stations
