Press TAB to move to input areas. Press UP or DOWN ARROW in column A to read through the document.,Energy Consumption and Greenhouse Gas Emissions Reporting - for 2017,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36
Confirm consecutive 12-mth period (mth-yr to mth-yr),Jan/2017 - Dec/2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sector,Municipality,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agency Sub-sector,Municipal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Organization Name,City of Toronto,"Please fill in the mandatory fields indicated in red, in addition to submitting data on your energy usage.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Operation Name,Operation Type,Address,City,Postal Code,Total Floor Area,Unit,Avg hrs/wk,Annual Flow (Mega Litres),Energy Type and Amount Purchased and Consumed in Natural Units,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Total (calculated in webform),NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,Electricity,NA,Natural Gas,NA,Fuel Oil 1 & 2,NA,Fuel Oil 4 & 6,NA,Propane,NA,Coal,NA,Wood,NA,District Heating,NA,NA,NA,District Cooling,NA,NA,NA,"GHG Emissions
(Kg)","Energy Intensity
(ekWh/sqft)","Energy Intensity
(ekWh/Mega Litre)",Building / Operation Identifier,Comments
NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,Unit,Quantity,Unit,Quantity,Unit,Quantity,Unit,Quantity,Unit,Quantity,Unit,Quantity,Unit,Quantity,Unit,Renewable?,"If Yes, enter Emission Factor",Quantity,Unit,Renewable?,"If Yes, enter Emission Factor",NA,NA,NA,NA,NA
Stephenson Building,"Administrative offices and related facilities, including municipal council chambers",2160 Yonge Street,Toronto,M7A 2G5,135034,Square meters,70,23516.002240000002,2181065,kWh,125300,Cubic meter,NA,Litre,NA,Litre,NA,Litre,NA,Metric Tonne,NA,Metric Tonne,26.73,Giga Joule,No,0,20.506,Giga Joule,No,0,NA,NA,NA,NA,max. 255 characters
2 Civic Centre Court,"Administrative offices and related facilities, including municipal council chambers",2 Civic Centre Court,Etobicoke,M9C 5A3,46145,Square feet,70,0,1259536.6399680001,kWh,34119.044817000002,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110158.92728725474,35.100835316990796,NA,CC2,Administrative Offices
51 Lisgar,"Administrative offices and related facilities, including municipal council chambers",51 Lisgar,Toronto,M6J 0B9,10053,Square feet,70,0,70947.464934999996,kWh,5120.6251609999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12281.709149760089,12.434587675942543,NA,51LISGAR,Administrative Offices
Archives and Records Centre,"Administrative offices and related facilities, including municipal council chambers",255 Spadina Rd,Toronto,M5R 2V3,39590,Square feet,70,0,480158.20825800003,kWh,46939.289276999996,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106455.79394391213,24.644770307374571,NA,ARC,Administrative Offices
Atlantic Ave Storage Bldg,"Administrative offices and related facilities, including municipal council chambers",98 Atlantic Ave,Toronto,M6K 1X9,43002,Square feet,70,0,105617.72628799999,kWh,26977.436363000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55051.004230795472,9.0789303604854865,NA,AASB,Administrative Offices
Central Services Office,"Administrative offices and related facilities, including municipal council chambers",329 Chaplin Cres.,Toronto,M5N 2M9,18299,Square feet,70,0,181378.16795000003,kWh,21082.354917000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46579.552858475727,22.074432018589288,NA,CSO,Administrative Offices
City Clerk's Office,"Administrative offices and related facilities, including municipal council chambers",88 Sunrise Ave,North York,M4A 1B3,34843,Square feet,70,0,710224.49364500004,kWh,48343.396979999998,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117405.54958015619,35.030752565267875,NA,88SUN,Administrative Offices
City Hall,"Administrative offices and related facilities, including municipal council chambers",100 Queen St W,Toronto,M5H 2N1,780061,Square feet,70,0,13448190.390590999,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2693549.4582761242,39.767916599576971,NA,CH,Administrative Offices
Cliffcrest Employment Services,"Administrative offices and related facilities, including municipal council chambers",2989 Kingston Rd,Scarborough,M1M 1P1,8530,Square feet,70,0,112550.60941600001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4051.8219389759997,13.194733690137463,NA,2989KINGSTON2,Administrative Offices
Consolidated Communication Ctr,"Administrative offices and related facilities, including municipal council chambers",703 Don Mills Rd,North York,M3C 3N3,132999,Square feet,70,0,7361109.3688709997,kWh,256042.35333299998,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,751401.03548252268,75.670603824894656,NA,CCC,Administrative Offices
Crossways Employment Services,"Administrative offices and related facilities, including municipal council chambers",2340 Dundas St W,Toronto,M6P 4A9,18277,Square feet,70,0,852922.55257699999,kWh,44993.611613000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116179.12593787197,72.654829852348371,NA,RWO,Administrative Offices
Dyas Road,"Administrative offices and related facilities, including municipal council chambers",14 & 18 Dyas Rd,North York,M3B 1V5,102516,Square feet,70,0,1655333.6667550001,kWh,105208.74935500001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259456.02106537996,26.98118163866755,NA,DYAS,Administrative Offices
East Court & Municipal Services,"Administrative offices and related facilities, including municipal council chambers",1530 Markham Rd,Scarborough,M1B 3G4,120104,Square feet,70,0,1950837.440774,kWh,105860.71371,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271332.68709561392,25.547778971109466,NA,MR1530,Administrative Offices
East York Civic Centre,"Administrative offices and related facilities, including municipal council chambers",850 Coxwell Ave,Toronto,M4C 5R1,67544,Square feet,70,0,1789712.8801289999,kWh,104399.566785,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262756.47671044065,42.814169336886494,NA,EYCC,Administrative Offices
Eastern District Office,"Administrative offices and related facilities, including municipal council chambers",1 Eastville Ave.,Scarborough,M1M 2N5,19849,Square feet,70,0,96300.750907000009,kWh,32070.238961999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64390.339286373783,21.908337082035022,NA,EDO,Administrative Offices
Election Services Building,"Administrative offices and related facilities, including municipal council chambers",89 Northline Road,East York,M4B 3G1,55004,Square feet,70,0,257136.326745,kWh,71888.497562999997,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145822.76769827545,18.472222929792338,NA,89NORTH,Administrative Offices
Etobicoke Civic Centre,"Administrative offices and related facilities, including municipal council chambers",399 The West Mall,Etobicoke,M9C 2Y2,154925,Square feet,70,0,2723553.0578070004,kWh,187349.21296199999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,453953.33645283378,30.346056689430238,NA,ETCC,Administrative Offices
Etobicoke North Office,"Administrative offices and related facilities, including municipal council chambers",220 Attwell Dr,Etobicoke,M9W 6T9,20279,Square feet,70,0,478213.00758199999,kWh,44398.227220000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101558.5365405138,46.694407807818102,NA,ENO,Administrative Offices
Etobicoke South Office,"Administrative offices and related facilities, including municipal council chambers",779 The Queensway,Etobicoke,M8Z 1N4,22497,Square feet,70,0,455275.52735699998,kWh,29544.387500000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72515.096474727005,34.100994691935419,NA,ESO,Administrative Offices
