Operation Name,Operation Type,Address,City,Total Floor Area,Avg hrs per wk,Annual Flow,Electricity,Natural Gas,GHG Emissions,Energy Intensity
Spadina Road,Public libraries,10 Spadina Rd.,Toronto,3950,70,0,68558.81688,6533.50732,"14,880",34.8
St Clair Silverthorn,Public libraries,1748 St. Clair Ave. W.,Toronto,4585,70,0,25841.12992,1863.873899,"4,471",9.9
St Lawrence,Public libraries,171 Front St. E.,Toronto,4833,70,0,48401.37445,0,"1,742",10
Steeles,Public libraries,375 Bamburgh Cir,Scarborough,5005,70,0,83029.91269,3663.106773,"9,948",24.3
Taylor Memorial,Public libraries,1440 Kingston Rd,Scarborough,5005,70,0,46295.59281,12680.21635,"25,755",36
Thorncliffe,Public libraries,48 Thorncliffe Park Dr,East York,11034,70,0,197805.4707,4054.103449,"14,823",21.8
Toronto Reference Library,Public libraries,789 Yonge St,Toronto,416025,70,0,7946049.492,427687.8505,"1,098,532",30
Victoria Village,Public libraries,184 Sloane Ave,North York,5382,70,0,63841.8819,10529.83266,"22,302",32.5
Weston,Public libraries,2 King St,Toronto,11948,70,0,150449.4476,13198.18214,"30,489",24.3
Woodside Square,Public libraries,1571 Sandhurst Circle,Scarborough,9795,70,0,138166.816,17117.19748,"37,491",32.6
Woodview Park,Public libraries,16-18 Bradstock Rd,North York,5360,70,0,49701.14573,3862.962876,"9,128",16.9
Wychwood,Public libraries,1431 Bathurst St.,Toronto,6383,70,0,166384.7183,7768.161291,"20,747",38.9
York Woods,Public libraries,1785 Finch Ave W,North York,42173,70,0,751952.9191,62609.67275,"146,009",33.5
Yorkville,Public libraries,22 Yorkville Ave.,Toronto,9052,70,0,181956.2749,19866.72463,"44,291",43.3
Algonguin Island Sewage Pumping Station,Facilities related to the pumping of sewage,16 Wyandot Ave,Toronto,75,168,56.04,12841.6535,0,462,171.2
Baby Point Sewage Pumping Station,Facilities related to the pumping of sewage,61 Humberview Rd,Toronto,1,168,253.78,58624.02606,0,"2,110","58,624.30"
Berry Rd Sewage Pumping Station,Facilities related to the pumping of sewage,132 Berry Rd,Etobicoke,7244,168,32.64,11878.58448,0,428,1.6
Brule Gardens Sewage Pumping Station,Facilities related to the pumping of sewage,0 Brule Gd,Toronto,151,168,50.56,10469.56366,0,377,69.3
Copeland Sewage PS,Facilities related to the pumping of sewage,1 Copeland St,East York,0,168,294.44,39855.092,0,"1,435",
Cumber Sewage Pumping Station,Facilities related to the pumping of sewage,5316 Lawrence Ave E,Scarborough,635,168,2188.48,346574.1388,0,"12,477",545.8
Ellis Ave Sewage Pumping Station,Facilities related to the pumping of sewage,1 Ellis Ave,Toronto,1,168,285.85,4084.845259,0,147,"4,084.90"
Fallingbrook Sewage Pumping Station,Facilities related to the pumping of sewage,7 Fallingbrook Dr,Scarborough,1,168,49,20135.44744,0,725,"20,135.50"
Grand River Sewage Pumping Station,Facilities related to the pumping of sewage,125 Grand River Blvd,Scarborough,1,168,28.58,5001.080364,0,180,"5,001.10"
Greyabbey Trail Sewage Pumping Station,Facilities related to the pumping of sewage,144 Greyabbey Trail,Scarborough,1001,168,41.53,44206.0445,0,"1,591",44.2
Highfield Sewage Pumping Station,Facilities related to the pumping of sewage,1 Highfield Rd,Toronto,1,168,0,1042.759958,0,38,"1,042.80"
Humber Sewage Pumping Station,Facilities related to the pumping of sewage,490 Riverside Dr,Toronto,1,168,9.22,12893.48591,0,464,"12,893.50"
Island Rd Sewage Pumping Station,Facilities related to the pumping of sewage,246 Island Rd,Scarborough,1,168,41.62,18280.08187,0,658,"18,280.20"
Kennedy Park Sewage Pumping Station,Facilities related to the pumping of sewage,15 Birchview Cr,Toronto,151,168,124.19,16744.23785,0,603,110.9
Kingston Rd Sewage Pumping Station,Facilities related to the pumping of sewage,3241 Kingston Rd,Scarborough,1,168,93.08,132637.6232,0,"4,775","132,638.20"
Livingston Rd Sewage Pumping Station,Facilities related to the pumping of sewage,42 Livingston Rd,Scarborough,1,168,319.93,111764.3015,0,"4,024","111,764.80"
Long Branch Sewage Pumping Station,Facilities related to the pumping of sewage,426 Lake Promenade,Etobicoke,3068,168,730.8,206052.7607,0,"7,418",67.2
Lower Simcoe Pumping Station,Facilities related to the pumping of sewage,5 Lower Simcoe,Toronto,1,168,1288.57,83475.5252,0,"3,005","83,475.90"
Martin Grove Sewage Pumping Station,Facilities related to the pumping of sewage,1200 Martin Grove Rd,Etobicoke,1,168,8.67,27320.92544,0,984,"27,321.00"
Midland Sewage Pumping Station,Facilities related to the pumping of sewage,21 Midland Ave,Scarborough,1,168,1927.35,103903.4551,0,"3,741","103,903.90"
Military Trail Sewage Pumping Station,Facilities related to the pumping of sewage,1A Skyridge Rd,Scarborough,1,168,16.19,4204.08899,0,151,"4,204.10"
Mimico Sewage Pumping Station,Facilities related to the pumping of sewage,9 Superior Ave.,Etobicoke,4435,168,6845.08,856177.4707,0,"30,822",193.1
New Toronto Pumping Station,Facilities related to the pumping of sewage,31 Lakeshore Blvd,Toronto,2067,168,181.39,280363.9064,0,"10,093",135.6
Port Union Sewage Pumping Station,Facilities related to the pumping of sewage,11 Lakeridge Dr,Scarborough,1,168,576.22,55321.42888,0,"1,992","55,321.70"
Redlands Sewage Pumping Station,Facilities related to the pumping of sewage,10 Redland Cres E,Scarborough,1,168,671.26,149757.7168,0,"5,391","149,758.30"
Ridgevalley Sewage PS,Facilities related to the pumping of sewage,21 RIDGEVALLEY CRES,Etobicoke,0,168,229.52,5532.786568,0,199,
Riverside Sewage Pumping Station,Facilities related to the pumping of sewage,20 Riverside Cr,Toronto,1,168,39.87,2124.253255,0,76,"2,124.30"
Scott Sewage Pumping Station,Facilities related to the pumping of sewage,6 Scott St,Toronto,0,168,1987.45,292587.7125,0,"10,533",
Sewells Rd Sewage Pumping Station,Facilities related to the pumping of sewage,579 Sewells Rd,Scarborough,1,168,78.22,58939.06224,0,"2,122","58,939.30"
Silver Birch Ave Sewage Pumping Station,Facilities related to the pumping of sewage,3 Silver Birch Av,Toronto,1,168,4.65,337.742939,0,12,337.7
Strachan Sewage Pumping Station,Facilities related to the pumping of sewage,1 Strachan Ave,Toronto,1,168,984.93,266885.4934,5861.861176,"20,744","328,768.80"
Swansea Sewage Pumping Station,Facilities related to the pumping of sewage,110 The Queensway,Toronto,527,168,394.37,174149.1968,0,"6,269",330.5
Valleymede Sewage Pumping Stn,Facilities related to the pumping of sewage,66 Ellis Park Rd,Toronto,1,168,101.06,73896.30804,0,"2,660","73,896.60"
Ward's Island Sewage Pumping Station,Facilities related to the pumping of sewage,235 Cibola Ave,Toronto,1,168,20.65,2703.323716,0,97,"2,703.30"
Warren Park Sewage Pumping Station,Facilities related to the pumping of sewage,6 Pasadena Gardens,Toronto,1,168,165.52,85521.2448,0,"3,079","85,521.60"
West Rouge Sewage Pumping Station,Facilities related to the pumping of sewage,6570 Lawrence Ave.E.,Scarborough,3229,168,834.16,310709.3312,0,"11,186",96.2
Western Beaches Tunnel Storm Pumping Station,Facilities related to the pumping of sewage,775 Lake Shore Blvd W,Toronto,1,168,439.07,376707.4737,0,"13,561","376,709.00"
Wirral Crt Sewage Pumping Station,Facilities related to the pumping of sewage,1 Wirral Crt,Scarborough,1,168,143.73,79760.57519,0,"2,871","79,760.90"
Highland Creek Treatment Plant,Facilities related to the treatment of sewage,51 Beechgrove Dr,Scarborough,255395,168,62388,33914086.21,6940806.275,"14,406,287",419.7
Humber Treatment Plant,Facilities related to the treatment of sewage,130 The Queensway,Etobicoke,224869,168,121062,49923547.54,2201367.071,"5,979,163",325.4
Main Treatment Plant,Facilities related to the treatment of sewage,1091 Eastern Ave,Toronto,378438,168,240817,131780414.1,6802374.34,"17,666,497",538
North Toronto Treatment Plant,Facilities related to the treatment of sewage,1101 Millwood Rd,East York,21786,168,5731,2622228.842,0,"94,400",120.4
Adelaide Street Office,Social housing,67 Adelaide St. E.,Toronto,15888,168,0,182245.377,39629.04887,"81,844",37.8
Asquith Green Social Housing,Social housing,21 Park Rd,Toronto,6329,168,0,93287.37954,8186.505682,"18,910",28.4
Assessment & Referral Ctr (129 Peter),Social housing,342 RICHMOND ST W,Toronto,11780,168,0,246948.8,22655.86968,"51,929",41.3
Birchmount Residence,Social housing,1673 Kingston Rd,Scarborough,5199,168,0,259878.0559,40212.87111,"85,748",131.6
Downsview Dell,Social housing,1651 Sheppard Ave W,North York,5199,168,0,131903.9247,0,"4,749",25.4
Family Residence,Social housing,4222 Kingston Rd,Scarborough,39999,168,0,384172.0049,50610.7564,"109,975",23
Fort York Residence,Social housing,38 Bathurst St,Toronto,25995,168,0,378915.2166,78857.20897,"163,445",46.6
Greenfield Family Centre,Social housing,305 Greenfield Ave,North York,7384,168,0,66023.59663,5925.251407,"13,633",17.4
Robertson House,Social housing,291 Sherbourne St,Toronto,19795,168,0,485855.8371,87017.44327,"182,797",71
Seaton House,Social housing,339 George St,Toronto,97995,168,0,1372373.358,457986.9064,"919,439",63.3
Women's Residence,Social housing,674 Dundas St. W,Toronto,28255,168,0,490219.4231,67060.58288,"145,042",42.4
1627 Danforth Ave,"Storage facilities where equipment or vehicles are maintained, repaired or stored",1627 Danforth Ave,Toronto,62834,100,0,36984.7224,603.067273,"2,477",0.7
391 Alliance Ave,"Storage facilities where equipment or vehicles are maintained, repaired or stored",391 Alliance Ave,Toronto,34952,100,0,277387.1012,0,"9,986",7.9
Alness Service Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",21 Alness St.,North York,25715,70,0,161017.8873,39453.285,"80,746",22.5
Bartonville Park,"Storage facilities where equipment or vehicles are maintained, repaired or stored",5 Bartonville Ave E,Toronto,3606,70,0,29337.19487,11686.81527,"23,257",42.3
Bentworth Park Yard - Bldg 1,"Storage facilities where equipment or vehicles are maintained, repaired or stored",140 Bentworth Ave,North York,5554,70,0,21055.70473,10505.53427,"20,715",23.8
Bentworth Park Yard - Bldg 2,"Storage facilities where equipment or vehicles are maintained, repaired or stored",140 Bentworth Ave,North York,6330,70,0,36377.79333,14688.40212,"29,213",30.2
Bering Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",320 Bering Ave,Etobicoke,53798,70,0,507010.59,115098.92,"236,905",32
Birchmount Parks Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",101 Ridgetop Rd,Scarborough,15317,70,0,120549.346,27815.62667,"57,181",27
Brimley Parks Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",451 Brimley Rd,Scarborough,2809,70,0,32052.56941,4533.827859,"9,767",28.4
Caledonia Rd Serv Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",1141 Caledonia Rd,North York,1981,70,0,64673.34919,0,"2,328",32.6
Castlefield Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",1401 Castlefield Ave Yard,Toronto,36447,70,0,325187.265,46295.98392,"99,655",22.3
Centennial Pk Svc Bldg,"Storage facilities where equipment or vehicles are maintained, repaired or stored",149 Elmcrest Rd,Etobicoke,1023,70,0,57652.00395,9731.778062,"20,563",156.8
Central Equipment Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",1026 Finch Ave. W,North York,148198,70,0,1251225.757,329184.2641,"670,392",31.9
Central Water Services,"Storage facilities where equipment or vehicles are maintained, repaired or stored",545 Commissioners St.,Toronto,32679,70,0,1115583.166,44271.90625,"124,264",48.4
Disco Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",156 Disco Rd,Etobicoke,131976,70,0,852863.6343,176149.49,"365,333",20.6
Dufferin Maintenance Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",75 Vanley Cres.,North York,31667,70,0,396235.1048,28071.47617,"67,592",21.9
Eastern & Booth Blocks,"Storage facilities where equipment or vehicles are maintained, repaired or stored",433 Eastern Ave,Toronto,236645,70,0,2859284.995,390191.4299,"844,177",29.5
Eastern Ave Yard / Office,"Storage facilities where equipment or vehicles are maintained, repaired or stored",843 Eastern Ave,Toronto,84701,70,0,1069364.673,343212.7382,"690,495",55.4
Eastern Ave Yard / Shop,"Storage facilities where equipment or vehicles are maintained, repaired or stored",875 Eastern Ave,Toronto,9698,70,0,81153.11938,16931.58088,"35,086",26.8
Eglinton Flats Service Bldg,"Storage facilities where equipment or vehicles are maintained, repaired or stored",101 Emmett Ave,Toronto,5705,70,0,52787.83358,13141.06788,"26,864",33.6
Ellesmere Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",1050 Ellesmere Rd,Scarborough,138069,70,0,1742369.857,193887.9335,"431,052",27.4
Emery Parks Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",27 Toryork Dr.,North York,18998,70,0,225577.5852,42198.36398,"88,285",35.3
Emery Works Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",61 Toryork Dr,North York,26404,70,0,341098.4228,77131.11776,"158,805",43.8
Hamilton Street Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",138 Hamilton St,Toronto,2756,70,0,62536.72749,0,"2,251",22.7
Health Materials Warehouse,"Storage facilities where equipment or vehicles are maintained, repaired or stored",160 Rivalda Rd,North York,22604,70,0,30464.73415,18288.705,"35,840",9.9
Ingram Works Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",86 Ingram Dr,Toronto,23907,70,0,360921.8726,51622.69811,"111,060",37.9
Joel Weeks Park - Storage Bldg,"Storage facilities where equipment or vehicles are maintained, repaired or stored",10 Thompson St,Toronto,183,70,0,17347.66334,0,625,94.8
King St Garage,"Storage facilities where equipment or vehicles are maintained, repaired or stored",1116 King St W,Toronto,83485,70,0,435252.0159,168455.5597,"335,682",26.5
Kipling Maintenance Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",441 Kipling Ave,Etobicoke,27373,70,0,196288.8536,45871.93548,"94,209",24.9
Kipling Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",435 Kipling Ave,Etobicoke,11001,70,0,518310.0813,44575.192,"103,338",89.9
Maintenance Yard #3,"Storage facilities where equipment or vehicles are maintained, repaired or stored",195 Berdmondsy Rd,North York,4618,70,0,388910.2443,11649.51515,"36,131",110.8
Maintenance Yard #6,"Storage facilities where equipment or vehicles are maintained, repaired or stored",7 Leslie St,Toronto,6135,70,0,118203.3974,18704.42121,"39,788",51.5
Marylin Bell Park Water Equipment Shed,"Storage facilities where equipment or vehicles are maintained, repaired or stored",1155 Lake Shore Blvd W,Toronto,700,70,0,25592.41934,0,921,36.6
McDairmid Woods,"Storage facilities where equipment or vehicles are maintained, repaired or stored",1904 Brimley Rd,Scarborough,301,70,0,44250.63125,0,"1,593",147
Monarch Park Serv Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",115 Felstead Ave,Toronto,13950,70,0,93093.92728,0,"3,351",6.7
Morningside Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",891 Morningside Ave,Scarborough,14779,70,0,406027.2213,30893.17365,"73,304",49.5
Mt. Dennis Bus Garage,"Storage facilities where equipment or vehicles are maintained, repaired or stored",121 Industry St,Toronto,710493,100,0,4853785.135,692755.53,"1,490,757",17.1
Nashdene Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",70 NASHDENE,Scarborough,301,70,0,26163.17227,0,"67,149",24
Nashdene Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",70 NASHDENE,Scarborough,301,70,0,26163.17227,0,"67,149",24
North District Serv Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",140 Merton St,Toronto,32044,70,0,225315.0026,41334.7022,"86,634",20.6
North East District Salt Dome,"Storage facilities where equipment or vehicles are maintained, repaired or stored",1 Nantucket Blvd,Scarborough,9526,70,0,280945.4692,0,"10,114",29.5
Northern Services Building,"Storage facilities where equipment or vehicles are maintained, repaired or stored",4801 Dufferin St.,North York,5769,70,0,233638.4439,55398.59655,"113,651",141.9
Northline Parks and Garage,"Storage facilities where equipment or vehicles are maintained, repaired or stored",30 Northline Rd,East York,50041,70,0,582603.7541,129396.0204,"266,786",38.9
Old Eglinton Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",25 Old Eglinton Ave,North York,66155,70,0,626754.4849,86598.8171,"187,074",23.3
Oriole Parks Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",2747 Old Leslie St,North York,13046,70,0,86201.8057,0,"3,103",6.6
Oriole Yd- Signs and Markings,"Storage facilities where equipment or vehicles are maintained, repaired or stored",2755 Old Leslie Street,North York,16264,70,0,5926.683493,47502.18897,"90,453",31.2
Oriole Yd- Works,"Storage facilities where equipment or vehicles are maintained, repaired or stored",2751 Old Leslie St.,North York,26759,70,0,223491.6831,48297.62138,"99,796",27.4
Pharmacy Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",135 Pharmacy Ave.,Scarborough,1851,70,0,29358.97235,5977.491825,"12,412",50
Property Operation Workshop,"Storage facilities where equipment or vehicles are maintained, repaired or stored",133 River St,Toronto,12034,70,0,56002.92483,43658.41146,"84,954",43
Ramsden Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",1008 Yonge St,Toronto,20247,70,0,134367.1196,85587.47443,"167,427",51.3
Rockcliffe Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",301 Rockcliffe Blvd,Toronto,14047,70,0,73034.20811,36309.5875,"71,606",32.5
Sixth St Garage,"Storage facilities where equipment or vehicles are maintained, repaired or stored",297 Sixth St,Etobicoke,6997,70,0,7494.241839,9769.846395,"18,829",15.8
Toronto Island Service Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",0 Centre Isld,Toronto,34724,70,0,30422.70088,0,"1,095",0.9
Train Storage Building,"Storage facilities where equipment or vehicles are maintained, repaired or stored",20 Centre Road,Toronto,30849,70,0,200002.9975,50383.11775,"102,912",23.7
Wellington Yard & Office,"Storage facilities where equipment or vehicles are maintained, repaired or stored",677 Wellington St W,Toronto,2164,70,0,80972.05995,0,"2,915",37.4
Wellington Yard & Storage,"Storage facilities where equipment or vehicles are maintained, repaired or stored",677 Wellington St W,Toronto,21269,70,0,32829.75438,5812.087377,"12,223",4.4
Western Services Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",235 Edenbridge Dr.,Etobicoke,4133,70,0,32066.79724,11777.72284,"23,528",37.8
Winter Maintenance Depot,"Storage facilities where equipment or vehicles are maintained, repaired or stored",8270 Sheppard Ave E,Scarborough,12152,70,0,379535.7211,25461.21547,"62,032",53.4
Bloor Islington Storm Pumping Station,Other,3429 Bloor St W,Etobicoke,355,168,5.35,26536.26664,0,955,74.8
Eglinton-Bellamy Storm Pumping Station,Other,3034 Eglinton Ave E,Scarborough,441,168,10.69,38302.20433,0,"1,379",86.9
Islington Storm Pumping Station,Other,1276 Islington Ave,Etobicoke,450,168,18.17,33257.39502,0,"1,197",73.9
North Queen St Storm Pumping Station,Other,20 North Queen St,Etobicoke,676,168,8.82,18224.99325,2378.816,"5,175",64.1
Pantry Park Storm Pumping Station,Other,70 Kew Beach Ave,Toronto,78,168,0,24499.745,0,882,314.1
Warden Ave Storm PS,Other,1433 Warden Ave,Scarborough,462,168,0,36158.46537,0,"1,302",78.3
0 Wickman Rd-Near Fordhs,Street lighting,0 Wickman Rd,Etobicoke,1,70,0,287775.5464,0,"10,360","287,776.70"
1 Simcoe St,Street lighting,1 Simcoe St,Toronto,1,100,0,528628.1341,0,"19,031","528,630.30"
1030 Weston Rd,Street lighting,1030 Weston Rd,Toronto,1,168,0,719.570364,0,26,719.6
2000 Lake Shore,Street lighting,2000 Lake Shore Blvd W,Toronto,1,100,0,5485.748928,0,197,"5,485.80"
23 Peele Ave,Street lighting,23 Peel Ave,Toronto,1,100,0,627028.9828,0,"22,573","627,031.60"
402 Sewells Rd,Street lighting,402 Sewells Rd,Scarborough,1,100,0,225.476001,0,8,225.5
715 Bloor St E-Pole 133 Viewndr/,Street lighting,715 Bloor ST E,Toronto,1,70,0,908.93051,0,33,908.9
833 Royal York,Street lighting,833 Royal York,Etobicoke,10,168,0,2275.389428,0,82,227.5
Allen Road,Street lighting,195 Glen Park Ave,Toronto,520,70,0,559282.6759,0,"20,134","1,075.50"
BlueGold Variation,Street lighting,2 Windermere Ave,Toronto,1,100,0,7379.02425,0,266,"7,379.10"
Don Valley Parkway,Street lighting,21 Don Valley Parkway,Toronto,244,70,0,2767372.942,0,"99,625","11,341.70"
Gardiner Expressway,Street lighting,0 Gardiner Expressway,Etobicoke,583,70,0,1620148.068,0,"58,325","2,779.00"
Metro 27 Lighting,Street lighting,Streetlighting,Toronto,100,168,0,347250.1655,0,"12,501","3,472.50"
Sidney Belsey Cres,Street lighting,Sidney Belsey Cres,Toronto,1,70,0,5021.086877,0,181,"5,021.10"
St James Town,Street lighting,16A St James Crt,Toronto,1,70,0,1042.172295,0,38,"1,042.20"
Streetlighting East York,Street lighting,850 Coxwell Ave Streetlighting,Toronto,8356,70,0,4569842.157,0,"164,514",546.9
Streetlighting Etobicoke,Street lighting,Steetlighting Etobicoke,Etobicoke,24526,70,0,18712641.89,0,"673,655",763
Streetlighting North York,Street lighting,NY Street Lighting,North York,33943,70,0,31270451.65,0,"1,125,736",921.3
Streetlighting Scarborough,Street lighting,2100 Ellesmere Rd,Scarborough,36069,70,0,28980754.4,0,"1,043,307",803.5
Streetlighting Toronto,Street lighting,City Streetlights,Toronto,52795,70,0,28819843.44,0,"1,037,514",545.9
Streetlighting York,Street lighting,Streetlighting York,Toronto,6829,70,0,4638925.323,0,"167,001",679.3
Toronto Island Street Lighting,Street lighting,Lake Shore Ave.,Toronto,225,70,0,94624.96381,0,"3,406",420.6
55 John St LED Ltg,Other,55 John St,Toronto,2500,168,0,3809644.802,0,"137,147","1,523.90"
55 John St Ltg Beacon,Other,55 John St,Toronto,250,168,0,477143.9884,0,"17,177","1,908.60"
Advance Traffic Management,Other,0 Various Locations,Toronto,12,168,0,1075183.578,0,"38,707","89,599.00"
Other Traffic Control Signal Lig,Other,Various Locations,Toronto,1,168,0,47113.36923,0,"1,696","47,113.60"
Pedestrian Crossovers,Other,Various Locations,Toronto,1100,168,0,2258408.031,0,"81,303","2,053.10"
Signs & Flashing Beacons,Other,Various Locations,Toronto,100,168,0,23849.97206,0,859,238.5
Traffic Control Signals,Other,Various Locations,Toronto,1000,168,0,12515.9671,0,451,12.5
Bermondsey Transfer Station,Other,188 Bermondsey Dr.,North York,48976,70,0,1181629.824,8190.877273,"58,099",25.9
Commissioners St Transfer Stn,Other,400 Commissioners St.,Toronto,76424,70,0,804652.9042,78649.78788,"178,378",21.4
Disco Road Transfer Station,Other,120 Disco Rd,Etobicoke,57049,70,0,8160337.58,14387.21355,"321,103",145.7
Dufferin Transfer Station,Other,35 Vanley Cres,North York,120663,70,0,1818608.688,111170.4903,"276,659",24.8
Ingram Drive Transfer Station,Other,50 Ingram Dr,Toronto,112268,70,0,1532550.931,56376.21405,"162,269",19
Scarborough Transfer Station,Other,1850 Markham Rd,Scarborough,96595,70,0,2342545.894,86510.97151,"248,676",33.7
Victoria Park Transfer Station,Other,3350 Victoria Pk Ave.,North York,83959,70,0,947172.192,104215.1353,"232,075",24.4
Bus Shelters,Other,Various Locations,Toronto,267,168,0,511325.0556,0,"18,408","1,915.10"
Union Station,Other,61 Front St. W.,Toronto,765564,168,0,14483369.42,284792.8833,"3,930,597",49.1
0 Bay St Near Ququay,Other,0 Bay St Near Ququay,Toronto,0,168,0,321871.3716,0,"11,587",
128 York St Pole 50,Other,128 York St Pole 50,Toronto,1,168,0,908.931919,0,33,908.9
1328 Lansdowne Ave,Other,1328 Lansdowne Ave,Toronto,0,168,0,6682.903626,0,241,
15 Price St,Parking garages,15 Price St,Toronto,71,168,0,19859.34139,0,715,279.7
1577 Danforth Ave Unit Ttcpkg,Other,1577 Danforth Ave Unit Ttcpkg,Toronto,0,100,0,214605.1345,0,"7,726",
16 Riverview Gdns,Other,16 Riverview Gdns,Toronto,1,168,0,5036.004024,0,181,"5,036.00"
1635 Danforth Ave,Other,1635 Danforth Ave,Toronto,0,100,0,759086.6748,0,"27,327",
1873 Bloor Street W,Other,1873 Bloor Street W,Toronto,0,168,0,49438.85022,0,"1,780",
1996 St Clair Ave W,Other,1996 St Clair Ave W,Toronto,0,168,0,32983.81048,0,"1,187",
203 Bathurst St Near Wol Lp,Other,203 Bathurst St Near Wol Lp,Toronto,0,168,0,8151.065964,0,293,
2497 Queen St E,Other,2497 Queen St E,Toronto,1,168,0,29931.06779,0,"1,078","29,931.20"
27 Lascelles Blvd,Other,27 Lascelles Blvd,Toronto,0,168,0,71242.01971,0,"2,565",
298 Dundas St W Pole 76,Other,298 Dundas St W Pole 76,Toronto,2,168,0,1394.480736,0,50,697.2
3 Spadina Ave Pole 5,Other,3 Spadina Ave Pole 5,Toronto,1,168,0,908.931919,0,33,908.9
30 Denton Ave,Other,30 Denton Ave,Scarborough,0,168,0,1855.871325,0,67,
300 TRANSIT RD,Other,300 TRANSIT RD,North York,0,168,0,62023.23311,0,"2,233",
348 Queens Quay W,Other,348 Queens Quay W,Toronto,1,168,0,908.931919,0,33,908.9
366 Old Weston Rd,Other,366 Old Weston Rd,Toronto,0,168,0,7473.459899,0,269,
40 Dufferin St,Other,40 Dufferin St,North York,0,168,0,52929.14815,0,"1,905",
406 Victoria Park Ave Pole Opp 3,Other,406 Victoria Park Ave Pole Opp 3,Toronto,0,168,0,22158.71835,0,798,
554 Queen St W Pole 186,Other,554 Queen St W Pole 186,Toronto,1,168,0,457.765414,0,16,457.8
65 The Queensway,Other,65 The Queensway,Toronto,0,168,0,138695.9504,0,"4,993",
715 Spadina Ave,Other,715 Spadina Ave,Toronto,0,168,0,168626.0033,0,"6,071",
Allen Road Yard,Other,8 Allen Rd,North York,0,70,0,16185.79444,0,583,
Arrow Road Bus Garage,Other,700 Arrow Rd,North York,0,70,0,3479926.145,448521.6239,"977,329",
Asquith Substation,Other,34 Asquith Ave,Toronto,0,168,0,11916409.27,0,"428,991",
Bathurst Subway Stn,Other,815 Bathurst St,Toronto,0,168,0,851580.5644,0,"30,657",
Bay Subway Stn,Other,1220 Bay St Stn Yrkvle,Toronto,0,168,0,784813.8359,0,"28,253",
Bayview Substation,Other,550 Sheppard Ave E,North York,0,168,0,7630340.317,542268.0196,"1,304,833",
Beaches Substation,Other,1902 Queen St E,Toronto,0,168,0,1438656.101,0,"51,792",
Bedford Substation,Other,11 Bedford Rd,Toronto,0,168,0,14234523.97,0,"512,443",
Berwick Substation,Other,2180 Yonge St,Toronto,0,168,0,7648965.761,0,"275,363",
Birchmount Bus Garage,Other,400 Danforth Rd,Scarborough,150996,70,0,3340707.858,522308.279,"1,112,489",58.6
Birchmount Rd,Other,720 Birchmount Rd,Scarborough,0,168,0,201035.3458,0,"7,237",
Bloor Subway Stn,Other,27 Bloor St E Unit Blrstn,Toronto,0,168,0,1425089.719,0,"51,303",
Broadview Substation,Other,787 Broadview Ave,Toronto,0,168,0,7081158.148,0,"254,922",
Broadview Subway Stn,Other,771 Broadview Ave Unit Stn,Toronto,0,168,0,637505.6735,0,"22,950",
Carlaw Substation,Other,369 Carlaw Ave,Toronto,0,168,0,2407898.899,0,"86,684",
Casa Loma Substation,Other,278 Dupont St,Toronto,0,168,0,7047809.212,0,"253,721",
Castle Frank Subway Stn,Other,700 Bloor St E Stn Castle,Toronto,0,168,0,523200.5482,0,"18,835",
Chester Subway Stn,Other,8 Chester Ave Unit Stn,Toronto,0,168,0,247384.8341,0,"8,906",
Christie Subway Stn,Other,5 Christie St Unit Stn,Toronto,0,168,0,363609.5077,0,"13,090",
College Subway Stn,Other,1 Carlton St Room 11Y12,Toronto,0,168,0,308618.2152,0,"11,110",
Coxwell Substation,Other,336 Coxwell Ave,Toronto,0,168,0,1545730.766,0,"55,646",
