operation_name,operation_type,city,total_floor_area,avg_hrs_wk,annual_flow_mega_liters,electricity_quantity,natural_gas_quantity,ghg_emissions_kg,energy_intensity_ek_wh_sqft,energy_intensity_ek_wh_mega_litre
Algonguin Island Sewage Pumping Station,Sewage Pumping,Toronto,75,168,56.04,12841.653503000001,0,513.66614012,171.2227601318613,229.15251623643107
Baby Point Sewage Pumping Station,Sewage Pumping,Toronto,1,168,253.78,58624.026054999995,0,2344.9610422,58624.27032177522,231.00429632664205
Berry Rd Sewage Pumping Station,Sewage Pumping,Etobicoke,7244,168,32.64,11878.584483,0,475.14337932,1.6397893397435137,363.92873704356657
Brule Gardens Sewage Pumping Station,Sewage Pumping,Toronto,151,168,50.56,10469.563663,0,418.78254652000004,69.3351475906088,207.0729289197375
Cumber Sewage Pumping Station,Sewage Pumping,Scarborough,635,168,2188.48,346574.13877400005,0,13862.965550960002,545.7883194219081,158.36360525703302
Ellis Ave Sewage Pumping Station,Sewage Pumping,Toronto,1,168,285.85,4084.845259,0,163.39381036,4084.862279188579,14.290230117854046
Fallingbrook Sewage Pumping Station,Sewage Pumping,Scarborough,1,168,49,20135.447437,0,805.41789748,20135.53133469765,410.92921091219694
Grand River Sewage Pumping Station,Sewage Pumping,Scarborough,1,168,28.58,5001.0803639999995,0,200.04321456,5001.101201834849,174.98604625034463
Greyabbey Trail Sewage Pumping Station,Sewage Pumping,Scarborough,1001,168,41.53,44206.044497999996,0,1768.2417799199998,44.16206662322884,1064.4408545594044
Humber Sewage Pumping Station,Sewage Pumping,Toronto,1,168,9.22,12893.485908999999,0,515.73943636,12893.539631857953,1398.4316303533571
Island Rd Sewage Pumping Station,Sewage Pumping,Scarborough,1,168,41.62,18280.081867,0,731.20327468,18280.15803400778,439.21571441633307
Kennedy Park Sewage Pumping Station,Sewage Pumping,Toronto,151,168,124.19,16744.237847,0,669.76951388,110.88945440170657,134.8281473118423
Kingston Rd Sewage Pumping Station,Sewage Pumping,Scarborough,1,168,93.08,132637.62323,0,5305.5049292,132638.17588676346,1424.9911461835352
Livingston Rd Sewage Pumping Station,Sewage Pumping,Scarborough,1,168,319.93,111764.30145,0,4470.572058,111764.76713458938,349.341315708403
Long Branch Sewage Pumping Station,Sewage Pumping,Etobicoke,3068,168,730.8,206052.760696,0,8242.11042784,67.16219662619608,281.9562387098653
Lower Simcoe Pumping Station,Sewage Pumping,Toronto,1,168,1288.57,83475.525203,0,3339.02100812,83475.87301768834,64.78179145695488
Martin Grove Sewage Pumping Station,Sewage Pumping,Etobicoke,1,168,8.67,27320.925441,0,1092.8370176399999,27321.039278189335,3151.2156030206847
Midland Sewage Pumping Station,Sewage Pumping,Scarborough,1,168,1927.35,103903.455091,0,4156.13820364,103903.88802206288,53.91023323322847
Military Trail Sewage Pumping Station,Sewage Pumping,Scarborough,1,168,16.19,4204.08899,0,168.1635596,4204.106507037459,259.67303934758854
Mimico Sewage Pumping Station,Sewage Pumping,Etobicoke,4435,168,6845.08,856177.470677,0,34247.09882708,193.05096687330953,125.0797708840697
New Toronto Pumping Station,Sewage Pumping,Toronto,2067,168,181.39,280363.906419,0,11214.556256760001,135.63864276823583,1545.6479111414271
Port Union Sewage Pumping Station,Sewage Pumping,Scarborough,1,168,576.22,55321.428875000005,0,2212.857155,55321.65938095364,96.007877860806
Redlands Sewage Pumping Station,Sewage Pumping,Scarborough,1,168,671.26,149757.716775,0,5990.308671000001,149758.34076548656,223.10034973853135
Riverside Sewage Pumping Station,Sewage Pumping,Toronto,1,168,39.87,2124.253255,0,84.9701302,2124.262106055229,53.2797117144527
Sewells Rd Sewage Pumping Station,Sewage Pumping,Scarborough,1,168,78.22,58939.062243,0,2357.56248972,58939.30782242601,753.5068757661213
Silver Birch Ave Sewage Pumping Station,Sewage Pumping,Toronto,1,168,4.65,337.742939,0,13.509717559999999,337.7443462622458,72.63319274456899
Strachan Sewage Pumping Station,Sewage Pumping,Toronto,1,168,984.93,266885.49339200003,5861.861176,21811.138793115442,328768.7965804019,333.79914976739656
Swansea Sewage Pumping Station,Sewage Pumping,Toronto,527,168,394.37,174149.19682,0,6965.967872800001,330.45526080010137,441.5901880002369
Valleymede Sewage Pumping Stn,Sewage Pumping,Toronto,1,168,101.06,73896.308037,0,2955.85232148,73896.61593828347,731.2152774419501
