Press TAB to move to input areas. Press UP or DOWN ARROW in column A to read through the document.,Energy Consumption and Greenhouse Gas Emissions Reporting - for 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confirm consecutive 12-mth period (mth-yr to mth-yr),Jan/2015 - Dec/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector,Municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agency Sub-sector,Municipal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organization Name,City of Toronto,"Please fill in the mandatory fields indicated in red, in addition to submitting data on your energy usage.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operation Name,Operation Type,Address,City,Postal Code,Total Floor Area,Unit,Avg hrs/wk,Annual Flow (Mega Litres),Energy Type and Amount Purchased and Consumed in Natural Units,,,,,,,,,,,,,,,,,,,,,,Total (calculated in webform),,,,
,,,,,,,,,Electricity,,Natural Gas,,Fuel Oil 1 & 2,,Fuel Oil 4 & 6,,Propane,,Coal,,Wood,,District Heating,,,,District Cooling,,,,"GHG Emissions
(Kg)","Energy Intensity
(ekWh/sqft)","Energy Intensity
(ekWh/Mega Litre)",Building / Operation Identifier,Comments
,,,,,,,,,Quantity,Unit,Quantity,Unit,Quantity,Unit,Quantity,Unit,Quantity,Unit,Quantity,Unit,Quantity,Unit,Quantity,Unit,Renewable?,"If Yes, enter Emission Factor",Quantity,Unit,Renewable?,"If Yes, enter Emission Factor",,,,,
1119 Queen St W,Parking garages,1119 Queen St W,Toronto,M6J 1J3,7352,Square feet,168,0,2953.748841,kWh,0,Cubic meter,,,,,,,,,,,  ,0,  ,,  ,0,  ,  ,130,0.4,,1119QU,Parking Lots and Garages
111 St Andrews Rd,Other,111 St Andrews Road,Toronto,M1P 4C6,0,Square feet,100,0,224.517459,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,10,,,111STA,Outdoor Recreational Facilities
113 Spadina Rd,Other,113 Spadina Rd,Toronto,M5R 2T8,0,Square feet,100,0,8249.291342,kWh,12844.27613,Cubic meter,,,,,,,,,,,,,,,,,,,"24,639",,,113SPAD,Leasing
113 Spadina Lot,Parking garages,113 Spadina Ave,Toronto,M5V 2K2,0,Square feet,168,0,6475.578354,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,285,,,113SPADINA,Parking Lots and Garages
1155 King St W,Parking garages,1155 King St W,Toronto,M6K 3E4,0,Square feet,168,0,0,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"1,115",,,1155KI,Parking Lots and Garages
Marylin Bell Park Water Equipment Shed,"Storage facilities where equipment or vehicles are maintained, repaired or stored",1155 Lake Shore Blvd W,Toronto,M6K 3C1,700,Square feet,70,0,22908.20855,kWh,0,Cubic meter,,,,,,,,,,,  ,0,  ,,  ,0,  ,  ,"1,008",32.7,,1155LA,Storage Facilities
115 Broadview Ave,Parking garages,115 Broadview Ave,Toronto,M4M 1H1,26135,Square feet,168,0,12992.14512,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,572,0.5,,115BRO,Parking Lots and Garages
Riverwood Sewage Pumping Station,Other,115 Riverwood Pky,Toronto,M8Y 4G3,0,Square feet,168,0,24382.73445,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"1,073",,,115RIV,Water Misc Service
Littles Park,Other,11743 Sheppard Ave. E.,Toronto,M1B 5M3,0,Square feet,100,0,220.734039,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,10,,,11743S,Outdoor Recreational Facilities
Manchester Park,Other,75 Manchester St,Toronto,M8V 3V7,0,Square feet,100,0,7814.423318,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,344,,,117BUR,Outdoor Recreational Facilities
117 Hammersmith Ave,Parking garages,117 Hammersmith Ave,Toronto,M4E 2W5,9171,Square feet,168,0,4254.870538,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,187,0.5,,117HAM,Parking Lots and Garages
119 Annette Park Lighting,Other,119 Annette St,Toronto,M6P 1N8,0,Square feet,100,0,1267.514312,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,56,,,119ANN,Outdoor Recreational Facilities
11 Grenview Blvd,Parking garages,11 Grenview Blvd,Toronto,M8X 2J9,0,Square feet,168,0,5857.446269,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,258,,,11GREN,Parking Lots and Garages
Port Union Sewage Pumping Station,Facilities related to the pumping of sewage,11 Lakeridge Dr,Toronto,M1C 5E3,0,Square feet,168,320.4070123,57896.61235,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"2,547",,180.7,11LAKE,Sewage Pumping Facilities
#14 Police Division - NEW,Police stations and associated offices and facilities,11 St. Annes Rd.,Toronto,M6J 2C1,64200,Square feet,168,0,1454125.54,kWh,33734.60302,Cubic meter,,,,,,,,,,,,,,,,,,,"127,740",28.2,,11SA,Police Stations
Martin Grove Sewage Pumping Station,Facilities related to the pumping of sewage,1200 Martin Grove Rd,Toronto,M9W 4X2,0,Square feet,168,42.52581818,22384.59681,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,985,,526.4,1200MA,Sewage Pumping Facilities
1231 Queen St W,Other,1231 Queen St W,Toronto,M6K 1L5,0,Square feet,100,0,1307.913353,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,58,,,1231QU,Outdoor Recreational Facilities
Islington Storm Pumping Station,Other,1276 Islington Ave,Etobicoke,M9A 3J9,450,Square feet,168,36.14879125,34285.41581,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"1,509",76.2,948.5,1270IS,Storm Pumping Facilities
Thomas Riley Park,Other,1278 Islington Ave,Toronto,M9A 3J9,0,Square feet,100,0,21814.6913,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,960,,,1278IS,Outdoor Recreational Facilities
