_id,ADDRESS_POINT_ID,ADDRESS_POINT_ID_LINK,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,WARD,PLACE_NAME,GENERAL_USE_CODE,GENERAL_USE,CENTRELINE_ID,CENTRELINE_SIDE,CENTRELINE_MEASURE,ADDRESS_CLASS_DESC,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,X,Y,LONGITUDE,LATITUDE,ID,BUILDING_NAME,CLIENT_ADDRESS,TYPE_INSTALL,YEAR_INSTALL,SIZE_INSTALL,UNIT_MAX_POWER,ENERGY_OUTPUT,UNIT_ANNUAL,LANDLORD,SYSTEM_OWNERSHIP,FORMER_MUNICIPALITY,CLIENT_ADDR_POINT_ID,OBJECTID,geometry
29,982435,,1515,Albion Rd,1515 Albion Rd,M9V 1B2,Etobicoke,Toronto,Etobicoke North (1 ),Albion Public Library,107009,Library,906946,L,299.7,Land,1515,,,,1012,,,,,27,Albion Library,1515 Albion Road,FIT 4,"June 6, 2018",40.0,,,,,,,982435,27,"{'type': 'Point', 'coordinates': (-79.5841682141778, 43.7398528744664)}"
30,1027289,,71,Rexdale Blvd,71 Rexdale Blvd,M9W 1P1,Etobicoke,Toronto,Etobicoke North (1 ),,113001,Industrial Location,908025,L,166.85,Land,71,,,,2361,,,,,28,71 Rexdale Blvd,71 Rexdale Blvd,FIT 4,"Mar 9, 2018",500.0,,,,,,,1027289,28,"{'type': 'Point', 'coordinates': (-79.5609599084673, 43.7112112085079)}"
31,987966,,70,Birmingham St,70 Birmingham St,M8V 3W6,Etobicoke,Toronto,Etobicoke-Lakeshore (3 ),,113001,Industrial Location,914305,R,104.81,Land,70,,,,1181,,,,,29,Toronto Police Services Training Facility & D22 Substation Phase II,70 Birmingham Street,FIT 4,"Feb 2, 2018",200.0,,,,,,,987966,29,"{'type': 'Point', 'coordinates': (-79.5034791058314, 43.6050756358877)}"
32,10364406,,2650,Finch Ave W,2650 Finch Ave W,M9M 3A3,North York,Toronto,Humber River-Black Creek (7 ),Gord And Irene Risk Park,106007,Community/Assembly Hall,30000722,R,14.55,Land,2650,,,,1610,,,,,30,Gord& Irene Risk Community Centre,2650 Finch Avenue West,FIT 4,"Mar 9, 2018",100.0,,,,,,,10364406,30,"{'type': 'Point', 'coordinates': (-79.5665453732691, 43.74743703394601)}"
33,574352,,3383,Weston Rd,3383 Weston Rd,M9M 2V9,North York,Toronto,Humber River-Black Creek (7 ),Habitant Park,106005,Sport Complex,30117738,R,24.35,Land,3383,,,,952,,,,,31,Habitant Arena,3383 Weston Road,FIT 4,"Mar 21, 2018",120.0,,,,,,,574352,31,"{'type': 'Point', 'coordinates': (-79.5402428660813, 43.7470188202157)}"
34,515966,,1026,Finch Ave W,1026 Finch Ave W,M3J 2E1,North York,Toronto,York Centre (6 ),,104008,Other Office Building,439183,R,265.72,Land,1026,,,,1610,,,,,32,Finch Yard,1026 Finch Avenue West,FIT 4,"Jan 31, 2018",500.0,,,,,,,515966,32,"{'type': 'Point', 'coordinates': (-79.4706416496476, 43.7694524624562)}"
35,6275804,,20,Beffort Rd,20 Beffort Rd,M3K 2B1,North York,Toronto,York Centre (6 ),Fire Station 145,103002,Fire Station,6275627,L,65.12,Land,20,,,,9690,,,,,87,Fire Hall 145,20 Beffort Rd,MicroFIT C,"April 21, 2017",10.0,,,,,,,6275804,87,"{'type': 'Point', 'coordinates': (-79.4600322095888, 43.734755513140804)}"
36,7204387,,101,Ridgetop Rd,101 Ridgetop Rd,M1P 4W9,Scarborough,Toronto,Scarborough Centre (21 ),Birchmount Yard,115001,Unknown,7204388,R,34.72,Land,101,,,,8801,,,,,57,Birchmount Park Yard - Maintenance Shop,101 Ridgetop Road,FIT 4,"Feb 2, 2018",49.9,,,,,,,7204387,57,"{'type': 'Point', 'coordinates': (-79.2929070278052, 43.7702776112849)}"
37,516002,,1785,Finch Ave W,1785 Finch Ave W,M3N 1M6,North York,Toronto,Humber River-Black Creek (7 ),Yorkwoods Library - Building Grounds,107009,Library,30007045,L,189.11,Land,1785,,,,1610,,,,,33,York Woods Public Library,1785 Finch Ave West,FIT 4,"Nov 15, 2017",46.0,,,,,,,516002,33,"{'type': 'Point', 'coordinates': (-79.5073591941676, 43.75896488518741)}"
38,14077420,,580,Finch Ave W,580 Finch Ave W,M2R 1N7,North York,Toronto,York Centre (6 ),Herbert H. Carnegie Centennial Centre - Building Grounds,106005,Sport Complex,14660984,R,127.06,Land,580,,,,1610,,,,,34,Herbert Carnegie North York Centennial Centre,580 Finch Avenue West,FIT 4,"Feb 15, 2018",240.0,,,,,,,14077420,34,"{'type': 'Point', 'coordinates': (-79.4500519913561, 43.7733566875164)}"
39,530365,,86,Ingram Dr,86 Ingram Dr,M6M 2L6,North York,Toronto,York South-Weston (5 ),,104008,Other Office Building,446546,L,26.45,Land,86,,,,5892,,,,,35,Ingram Yard - Office & Storage Bldg,86 Ingram Drive,FIT 4,"Feb 2, 2018",100.0,,,,,,,530365,35,"{'type': 'Point', 'coordinates': (-79.4693403247524, 43.7013030759975)}"
40,10367940,,160,Neptune Dr,160 Neptune Dr,M6A 1X4,North York,Toronto,Eglinton-Lawrence (8 ),Baycrest Park,115001,Unknown,10367936,R,430.75,Land,160,,,,6275,,,,,36,Baycrest Arena,160 Neptune Drive,FIT 4,"Mar 21, 2018",140.0,,,,,,,10367940,36,"{'type': 'Point', 'coordinates': (-79.4431287602471, 43.7289108374112)}"
41,488880,,140,Bentworth Ave,140 Bentworth Ave,M6A 1P7,North York,Toronto,Eglinton-Lawrence (8 ),Bentworth Yard,104008,Other Office Building,444948,R,235.99,Land,140,,,,4938,,,,,37,Bentworth Park Yard Administration Building,140 Bentworth Avenue,FIT 4,"Jan 26, 2018",80.0,,,,,,,488880,37,"{'type': 'Point', 'coordinates': (-79.4655135420031, 43.7208770010676)}"
42,10363749,,1260,Dufferin St,1260 Dufferin St,M6H 4C3,former Toronto,Toronto,Davenport (9 ),Wallace Emerson Park,106007,Community/Assembly Hall,30074541,L,-23.41,Land,1260,,,,557,,,,,38,Wallace Emerson Community Centre & Indoor Pool,1260 Dufferin Street,FIT 4,"Feb 12, 2018",100.0,,,,,,,10363749,38,"{'type': 'Point', 'coordinates': (-79.4392706076072, 43.6673150084825)}"
43,12383210,,89,Church Ave,89 Church Ave,M2N 6C9,North York,Toronto,Willowdale (18 ),Mitchell Field Park,106007,Community/Assembly Hall,12383205,R,103.75,Land,89,,,,5197,,,,,39,Mitchell Field Community Centre & Arena,89 Church Avenue,FIT 4,"Jan 31, 2018",120.0,,,,,,,12383210,39,"{'type': 'Point', 'coordinates': (-79.4085371036938, 43.7746444825285)}"
44,8406963,,3230,Bayview Ave,3230 Bayview Ave,M2M 3R7,North York,Toronto,Willowdale (18 ),Bayview Arena (District Park),106005,Sport Complex,30044441,L,2.07,Land,3230,,,,24,,,,,40,Bayview Arena,3230 Bayview Avenue,FIT 4,"Mar 1, 2018",100.0,,,,,,,8406963,40,"{'type': 'Point', 'coordinates': (-79.393725587555, 43.7879383995908)}"
45,523759,,165,Grenoble Dr,165 Grenoble Dr,M3C 3E7,North York,Toronto,Don Valley East (16 ),Angela James Arena - Building Grounds,106005,Sport Complex,445548,R,39.74,Land,165,,,,5756,,,,,41,Angela James Arena,165 Grenoble Drive,FIT 4,"Mar 1, 2018",100.0,,,,,,,523759,41,"{'type': 'Point', 'coordinates': (-79.3275985277753, 43.7132061312789)}"
46,20275,,18,Cranfield Rd,18 Cranfield Rd,M4B 3G7,East York,Toronto,Beaches-East York (19 ),,113001,Industrial Location,402,L,127.65,Land,18,,,,76,,,,,42,Police Cranfield Garage,18 Cranfield Road,FIT 4,"Aug 1, 2017",150.0,,,,,,,20275,42,"{'type': 'Point', 'coordinates': (-79.3139855285419, 43.710461717869)}"
47,6427686,,888,Cosburn Ave,888 Cosburn Ave,M4C 2W6,East York,Toronto,Beaches-East York (19 ),Stan Wadlow Park,106001,Municipal Park,6427641,L,48.22,Land,888,,,,70,,,,,43,Stan Wadlow Park - East York Memorial Arena,888 Cosburn Avenue,FIT 4,"Jan 29, 2018",130.0,,,,,,,6427686,43,"{'type': 'Point', 'coordinates': (-79.3152902099295, 43.6974227872025)}"
48,8211750,,89,Northline Rd,89 Northline Rd,M4B 3G1,East York,Toronto,Beaches-East York (19 ),,115001,Unknown,14676230,R,148.21,Land,89,,,,270,,,,,44,Elections Building,89 Northline Road,FIT 4,"Jan 26, 2018",140.0,,,,,,,8211750,44,"{'type': 'Point', 'coordinates': (-79.3070054953526, 43.7157135064124)}"
49,6294641,,175,Main St,175 Main St,M4E 2W2,former Toronto,Toronto,Beaches-East York (19 ),East Toronto Athletic Field,106001,Municipal Park,14673384,R,55.67,Land,175,,,,234,,,,,45,Ted Reeve Community Arena,175 Main Street,FIT 4,"Jan 31, 2018",130.0,,,,,,,6294641,45,"{'type': 'Point', 'coordinates': (-79.299272767922, 43.6846020353579)}"
50,9950386,,2975,Don Mills Rd W,2975 Don Mills Rd W,M2J 3B7,North York,Toronto,Don Valley North (17 ),Oriole Community Resource Centre,106007,Community/Assembly Hall,9950387,R,279.79,Land,2975,,,,5399,,,,,46,Oriole Park Community Centre & Arena,2975 Don Mills Road West,FIT 4,"Jan 29, 2018",220.0,,,,,,,9950386,46,"{'type': 'Point', 'coordinates': (-79.3512777208514, 43.78180089783421)}"
51,30027073,,55,Forest Manor Rd,55 Forest Manor Rd,M2J 0C2,North York,Toronto,Don Valley North (17 ),,106007,Community/Assembly Hall,30095975,R,8.84,Land,55,,,,5625,,,,,47,Parkway Forest Community Centre,55 Forest Manor Road,FIT 4,"Jan 19, 2018",80.0,,,,,,,30027073,47,"{'type': 'Point', 'coordinates': (-79.3438943704941, 43.7725373289903)}"
52,13967566,,18,Dyas Rd,18 Dyas Rd,M3B 1V5,North York,Toronto,Don Valley East (16 ),,104002,Municipal Other,11541978,R,228.94,Land,18,,,,5467,,,,,48,Corporate Office Building,18 Dyas Road,FIT 4,"Feb 2, 2018",100.0,,,,,,,13967566,48,"{'type': 'Point', 'coordinates': (-79.3526252247513, 43.7517067883267)}"
53,20039471,6682366.0,25,Old Eglinton Ave,25 Old Eglinton Ave,M4A 0A2,North York,Toronto,Don Valley East (16 ),Bermondsey Yard,110001,Other Use,11517219,L,343.89,Structure,25,,,,6326,,,,,49,Bermondsey Yard - Office & Garage Bldg,25 Old Eglinton Ave,FIT 4,"Feb 2, 2018",50.0,,,,,,,20039471,49,"{'type': 'Point', 'coordinates': (-79.318040318266, 43.7232696930687)}"
54,14037435,,45,Fairfax Cres,45 Fairfax Cres,M1L 1Z6,Scarborough,Toronto,Scarborough Southwest (20 ),Clairlea Park,106005,Sport Complex,30059891,R,19.32,Land,45,,,,7865,,,,,50,Clairlea Park - Scarborough Indoor Soccer Centre,45 Fairfax Crescent,FIT 4,"Feb 2, 2018",100.0,,,,,,,14037435,50,"{'type': 'Point', 'coordinates': (-79.2871518212433, 43.7151130267455)}"
55,3461176,,2467,Eglinton Ave E,2467 Eglinton Ave E,M1K 2R1,Scarborough,Toronto,Scarborough Southwest (20 ),Don Montgomery Community Recreation Centre - Building Grounds,106007,Community/Assembly Hall,3461181,R,-27.48,Land,2467,,,,125,,,,,51,Don Montgomery  Arena & Gym,2467 Eglinton Avenue East,FIT 4,"Mar 1, 2018",240.0,,,,,,,3461176,51,"{'type': 'Point', 'coordinates': (-79.2616645716191, 43.7326626182699)}"
56,30000057,,25,Mendelssohn St,25 Mendelssohn St,M1L 0G6,Scarborough,Toronto,Scarborough Southwest (20 ),Warden Hilltop Community Centre - Building Grounds,106007,Community/Assembly Hall,30118290,R,45.01,Land,25,,,,19017,,,,,52,Warden Hilltop Community Centre,25 Mendelssohn Street,FIT 4,"Aug 28, 2017",40.0,,,,,,,30000057,52,"{'type': 'Point', 'coordinates': (-79.2804886799693, 43.7149029373781)}"
57,5045390,,3600,Kingston Rd,3600 Kingston Rd,M1M 1R9,Scarborough,Toronto,Scarborough-Guildwood (24 ),Scarborough Village Recreation Centre - Building Grounds,106007,Community/Assembly Hall,5041127,L,120.22,Land,3600,,,,3786,,,,,53,Scarborough Village Recreation Centre & Arena,3600 Kingston Road,FIT 4,"Nov 27, 2017",130.0,,,,,,,5045390,53,"{'type': 'Point', 'coordinates': (-79.2167581311358, 43.7399913153288)}"
58,6436448,,2231,Lawrence Ave E,2231 Lawrence Ave E,M1P 2P5,Scarborough,Toronto,Scarborough Centre (21 ),McGregor Park,106007,Community/Assembly Hall,6436449,R,-55.56,Land,2231,,,,3828,,,,,54,McGregor Park Arena,2231 Lawrence Ave East,FIT 4,"Feb 2, 2018",120.0,,,,,,,6436448,54,"{'type': 'Point', 'coordinates': (-79.2801490008504, 43.7476285889232)}"
59,6793429,,1967,Ellesmere Rd,1967 Ellesmere Rd,M1H 2W5,Scarborough,Toronto,Scarborough-Guildwood (24 ),Centennial Recreation Centre,106007,Community/Assembly Hall,30098911,R,109.99,Land,1967,,,,7835,,,,,55,Centennial Galaxy Arena,1967 Ellesmere Road,FIT 4,"Aug 28, 2017",130.0,,,,,,,6793429,55,"{'type': 'Point', 'coordinates': (-79.2351078852929, 43.7755317569301)}"
60,310564,,150,Borough Dr,150 Borough Dr,M1P 4N7,Scarborough,Toronto,Scarborough Centre (21 ),Albert Campbell Square,104001,Municipal City Hall,107945,L,131.0,Land,150,,,,7397,,,,,56,Scarborough Civic Centre,150 Borough Drive,FIT 4,"Mar 20, 2018",100.0,,,,,,,310564,56,"{'type': 'Point', 'coordinates': (-79.2572409577755, 43.7728105957421)}"
61,321804,,140,Commander Blvd,140 Commander Blvd,M1S 3H7,Scarborough,Toronto,Scarborough North (23 ),Commander Park,106007,Community/Assembly Hall,105748,R,528.49,Land,140,,,,7632,,,,,58,Commander Park Arena & Community Centre,140 Commander Boulevard,FIT 4,"Feb 2, 2018",240.0,,,,,,,321804,58,"{'type': 'Point', 'coordinates': (-79.267814428165, 43.7950391949652)}"
62,9340585,,1,Transfer Pl,1 Transfer Pl,M1S 5H8,Scarborough,Toronto,Scarborough North (23 ),,115001,Unknown,9340587,L,-86.47,Land,1,,,,9109,,,,,59,Scarborough Transfer Station,1 Transfer Place,FIT 4,"Feb 23, 2018",300.0,,,,,,,9340585,59,"{'type': 'Point', 'coordinates': (-79.2426136958688, 43.7965097145422)}"
63,2236409,,715,Milner Ave,715 Milner Ave,M1B 3C3,Scarborough,Toronto,Scarborough-Rouge Park (25 ),,113001,Industrial Location,2236410,R,691.95,Land,715,,,,8507,,,,,60,715 Milner Ave,715 Milner Ave,FIT 4,"Mar 13, 2018",500.0,,,,,,,2236409,60,"{'type': 'Point', 'coordinates': (-79.2079880927316, 43.7959911159341)}"
64,14646184,,56,Neilson Dr,56 Neilson Dr,M9C 1V7,Etobicoke,Toronto,Etobicoke Centre (2 ),Neilson Park - Etobicoke,106001,Municipal Park,30040102,L,90.69,Land,56,,,,2164,,,,,61,Neilson Creative Centre,56 Neilson Drive,MircoFIT A,"Feb 19, 2014",10.0,,,,,,,14646184,61,"{'type': 'Point', 'coordinates': (-79.5664078320333, 43.6302119116271)}"
65,8492134,,2700,Eglinton Ave W,2700 Eglinton Ave W,M6M 1V1,York,Toronto,York South-Weston (5 ),Coronation Park - York,104001,Municipal City Hall,8492127,R,88.22,Land,2700,,,,571,,,,,62,York Civic Centre,2700 Eglinton Ave W,MircoFIT A,"Feb 20, 2014",10.0,,,,,,,8492134,62,"{'type': 'Point', 'coordinates': (-79.4784123776778, 43.6898842408096)}"
66,8417820,,760,Dovercourt Rd,760 Dovercourt Rd,M6H 2X2,former Toronto,Toronto,Davenport (9 ),Ambulance Station 33,103001,Ambulance Station,14011492,L,18.6,Land,760,,,,3317,,,,,63,Ems 33,760 Dovercourt Road,MircoFIT A,"Feb 10, 2014",4.0,,,,,,,8417820,63,"{'type': 'Point', 'coordinates': (-79.4299252259096, 43.661705140181)}"
67,30025460,,131,Finch Ave W,131 Finch Ave W,M2N 2H8,North York,Toronto,Willowdale (18 ),Edithvale Park / Edithvale Community Centre,106007,Community/Assembly Hall,30095909,L,75.93,Land,131,,,,1610,,,,,64,Edithvale CC,131 Finch Ave W,MircoFIT A,"Feb 12, 2014",10.0,,,,,,,30025460,64,"{'type': 'Point', 'coordinates': (-79.426539272761, 43.7769936505577)}"
68,30000057,,25,Mendelssohn St,25 Mendelssohn St,M1L 0G6,Scarborough,Toronto,Scarborough Southwest (20 ),Warden Hilltop Community Centre - Building Grounds,106007,Community/Assembly Hall,30118290,R,45.01,Land,25,,,,19017,,,,,65,Warden Hiltop CC,25 Mendelssohn Street,MircoFIT A,"Feb 12, 2014",10.0,,,,,,,30000057,65,"{'type': 'Point', 'coordinates': (-79.2804886799693, 43.7149029373781)}"
69,871192,,350,Dovercourt Rd,350 Dovercourt Rd,M6J 3E3,former Toronto,Toronto,Davenport (9 ),Toronto Police 14 Division,103003,Police Station,9410215,L,-7.0,Land,350,,,,3317,,,,,74,Police Division 14,350 Dovercourt Road,MicroFIT B,"Nov 27, 2015",10.0,,,,,,,871192,74,"{'type': 'Point', 'coordinates': (-79.4259779589982, 43.6512969102351)}"
70,30026350,10250060.0,105,Colborne Lodge Dr,105 Colborne Lodge Dr,,former Toronto,Toronto,Parkdale-High Park (4 ),Strawbale Children Teaching Kitchen,106001,Municipal Park,30074982,R,29.03,Structure,105,,,,3197,,,,,66,Teaching Kitchen,105 Colborne Lodge Drive,MircoFIT A,"Dec 21, 2014",4.0,,,,,,,30026350,66,"{'type': 'Point', 'coordinates': (-79.4619866421032, 43.6419971954045)}"
71,9655766,,2120,Kipling Ave,2120 Kipling Ave,M9W 4K5,Etobicoke,Toronto,Etobicoke North (1 ),Fire Station 415,103002,Fire Station,9655751,L,120.91,Land,2120,,,,1935,,,,,67,Fire Hall 415,2120 Kipling Ave,MicroFIT B,"Dec 4, 2015",10.0,,,,,,,9655766,67,"{'type': 'Point', 'coordinates': (-79.5703767704744, 43.7178772080563)}"
72,6044964,,947,Martin Grove Rd,947 Martin Grove Rd,M9W 4V6,Etobicoke,Toronto,Etobicoke North (1 ),Fire Station 441,103002,Fire Station,6044958,R,123.29,Land,947,,,,2066,,,,,68,West Fire Training Division,947 Martin Grove Road,MicroFIT B,"Nov 25, 2015",10.0,,,,,,,6044964,68,"{'type': 'Point', 'coordinates': (-79.5719196489125, 43.6949604663995)}"
73,1007854,,259,Horner Ave,259 Horner Ave,M8Z 4Y3,Etobicoke,Toronto,Etobicoke-Lakeshore (3 ),Horner Avenue Ems Station - Building Grounds,103001,Ambulance Station,914182,L,66.54,Land,259,,,,1823,,,,,69,Ems Station 38,259 Horner Ave,MicroFIT B,"Aug 27, 2015",10.0,,,,,,,1007854,69,"{'type': 'Point', 'coordinates': (-79.5214273930965, 43.6067569394856)}"
74,12464516,,2225,Lake Shore Blvd W,2225 Lake Shore Blvd W,,Etobicoke,Toronto,Etobicoke-Lakeshore (3 ),Humber Bay Park West,106001,Municipal Park,12464517,L,26.0,Land,2225,,,,1962,,,,,70,Humber Bay Park,2225 Lakeshore Boulevard W,MicroFIT B,"Dec 1, 2015",10.0,,,,,,,12464516,70,"{'type': 'Point', 'coordinates': (-79.4826286875248, 43.6205289712581)}"
