_id,ADDRESS_POINT_ID,ADDRESS_POINT_ID_LINK,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,WARD,PLACE_NAME,GENERAL_USE_CODE,GENERAL_USE,CENTRELINE_ID,CENTRELINE_SIDE,CENTRELINE_MEASURE,ADDRESS_CLASS_DESC,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,X,Y,LONGITUDE,LATITUDE,ID,BUILDING_NAME,CLIENT_ADDRESS,TYPE_INSTALL,YEAR_INSTALL,SIZE_INSTALL,UNIT_MAX_POWER,ENERGY_OUTPUT,UNIT_ANNUAL,LANDLORD,SYSTEM_OWNERSHIP,FORMER_MUNICIPALITY,CLIENT_ADDR_POINT_ID,OBJECTID,geometry
88,8594653,,1123,Weston Rd,1123 Weston Rd,M6N 3S3,York,Toronto,York South-Weston (5 ),Mount Dennis Public Library,107009,Library,8492330,R,109.07,Land,1123,,,,952,,,,,88,Mount Dennis Public Library,1123 Weston Rd,MicroFIT C,"Nov 29, 2017",10.0,,,,,,,8594653,88,"{'type': 'Point', 'coordinates': (-79.4882214097646, 43.6866312158819)}"
89,30011984,,115,Black Creek Dr,115 Black Creek Dr,M6M 0A9,York,Toronto,York South-Weston (5 ),,115001,Unknown,8548,R,221.13,Land,115,,,,9565,,,,,89,York Community Centre,115 Black Creek Dr,MicroFIT C,"Nov 8, 2017",10.0,,,,,,,30011984,89,"{'type': 'Point', 'coordinates': (-79.4820143294904, 43.68783698743551)}"
90,10757599,,140,Lansdowne Ave,140 Lansdowne Ave,M6K 2V9,former Toronto,Toronto,Parkdale-High Park (4 ),Fire Station 426,103002,Fire Station,14674741,L,32.23,Land,140,,,,3814,,,,,90,Fire Hall 426,140 Lansdowne Ave,MicroFIT C,"June 13, 2017",10.0,,,,,,,10757599,90,"{'type': 'Point', 'coordinates': (-79.4388667003996, 43.6450864408369)}"
91,8417152,,560,Palmerston Ave,560 Palmerston Ave,M6G 2P7,former Toronto,Toronto,University-Rosedale (11 ),Palmerston Public Library,107009,Library,14011865,L,11.59,Land,560,,,,4142,,,,,91,Palmerston Public Library,560 Palmerston Ave,MicroFIT C,"Oct 26, 2017",10.0,,,,,,,8417152,91,"{'type': 'Point', 'coordinates': (-79.4141846837429, 43.6650937185733)}"
92,11034910,,1008,Yonge St,1008 Yonge St,M4W 2K1,former Toronto,Toronto,University-Rosedale (11 ),,115001,Unknown,14014262,L,19.94,Land,1008,,,,4733,,,,,92,Ramsden Yard,1008 Yonge street,MicroFIT C,"May 17, 2017",10.0,,,,,,,11034910,92,"{'type': 'Point', 'coordinates': (-79.3903190024349, 43.6758084129325)}"
93,4014968,,269,Gerrard St E,269 Gerrard St E,M5A 2G3,former Toronto,Toronto,Toronto Centre (13 ),Parliament St. Public Library,107009,Library,4014966,R,39.53,Land,269,,,,3495,,,,,93,Parliament Public Library,269 Gerrard St E,MicroFIT C,"Aug 2, 2017",10.0,,,,,,,4014968,93,"{'type': 'Point', 'coordinates': (-79.3679546858488, 43.6618297331715)}"
94,7846745,,170,Memorial Park Ave,170 Memorial Park Ave,M4J 2K5,East York,Toronto,Toronto-Danforth (14 ),S. Walter Stewart Public Library,107009,Library,30094239,L,7.26,Land,170,,,,248,,,,,94,S. Walter Stewart Public Library,170 Memorial Park Ave,MicroFIT C,"Nov 16, 2017",10.0,,,,,,,7846745,94,"{'type': 'Point', 'coordinates': (-79.32971338018892, 43.6921382936961)}"
95,4228477,,1675,Danforth Ave,1675 Danforth Ave,M4C 5P2,former Toronto,Toronto,Beaches-East York (19 ),Danforth/Coxwell Public Library,107009,Library,4228470,R,185.58,Land,1675,,,,86,,,,,95,Danforth/Coxwell Library,1675 Danforth Ave.,MicroFIT C,"Sept 6, 2017",10.0,,,,,,,4228477,95,"{'type': 'Point', 'coordinates': (-79.3213529474959, 43.6836363802874)}"
96,325884,,1515,Danforth Rd,1515 Danforth Rd,M1J 1H5,Scarborough,Toronto,Scarborough Centre (21 ),Bendale Public Library,107009,Library,109918,R,75.3,Land,1515,,,,7707,,,,,96,Bendale Public Library,1515 Danforth Rd,MicroFIT C,"Sept 29, 2017",10.0,,,,,,,325884,96,"{'type': 'Point', 'coordinates': (-79.2440240978434, 43.7510738002232)}"
97,6666986,,2,Church St,2 Church St,M5E 1Z3,former Toronto,Toronto,Spadina-Fort York (10 ),,108006,Parking Lot,14671648,L,-21.99,Land,2,,,,503,,,,,97,Toronto Parking Authority,2 Church Street,MicroFIT A,"Jun 18, 2012",21.0,,,,,,,6666986,97,"{'type': 'Point', 'coordinates': (-79.3730840401415, 43.646452642687)}"
98,2215148,,201,Copperfield Rd,201 Copperfield Rd,M1E 5G7,Scarborough,Toronto,Scarborough-Rouge Park (25 ),East Point Park,113001,Industrial Location,20143859,R,170.3,Land,201,,,,7645,,,,,98,F.J. Horgan PV System,201 Copperfield Rd,FIT 1,"Jul 11, 2012",86.4,,,,,,,2215148,98,"{'type': 'Point', 'coordinates': (-79.1667157878241, 43.759589019885)}"
99,10313343,,105,Cedarvale Ave,105 Cedarvale Ave,M4C 4J9,East York,Toronto,Beaches-East York (19 ),Ambulance Station 46,103001,Ambulance Station,10071270,R,12.57,Land,105,,,,58,,,,,99,EMS 46,105 Cedarvale Ave,Storage + NM,2019,10.0,,,,,,,10313343,99,"{'type': 'Point', 'coordinates': (-79.3107117753868, 43.6870891761131)}"
100,7929870,,627,Queens Quay W,627 Queens Quay W,M5V 3G3,former Toronto,Toronto,Spadina-Fort York (10 ),Harbourfront Community Centre - Building Grounds,106007,Community/Assembly Hall,14130691,L,138.59,Land,627,,,,4244,,,,,100,Waterfront Neighbourhood Centre,627 Queens Quay W,Storage + NM,2018,94.0,,,,,,,7929870,100,"{'type': 'Point', 'coordinates': (-79.3977656874205, 43.6354055263545)}"
