operation_name,operation_type,city,total_floor_area,avg_hrs_wk,annual_flow_mega_liters,electricity_quantity,natural_gas_quantity,ghg_emissions_kg,energy_intensity_ek_wh_sqft,energy_intensity_ek_wh_mega_litre
Highland Creek Treatment Plant,Sewage Treatment,Scarborough,255395,168,62388,33914086.207774,6940806.2747599995,14406287.375578688,419.6893838195978,1718.0638933866478
Humber Treatment Plant,Sewage Treatment,Etobicoke,224869,168,121062,49923547.538806,2201367.07143,5979162.723321873,325.35846627120594,604.3435012798385
Main Treatment Plant,Sewage Treatment,Toronto,378438,168,240817,131780414.05238701,6802374.340276999,17666497.416366745,537.9795759305272,845.4216884854343
North Toronto Treatment Plant,Sewage Treatment,East York,21786,168,5731,2622228.84171,0,94400.23830155999,120.36352555143242,457.5536150171884
Bloor Islington Storm Pumping Station,Other,Etobicoke,355,168,5.35,26536.266634999996,0,955.3055988599998,74.75035831768349,4960.070505192082
Eglinton-Bellamy Storm Pumping Station,Other,Scarborough,441,168,10.69,38302.204326,0,1378.8793557359998,86.85343292180957,3583.0087856424716
Islington Storm Pumping Station,Other,Etobicoke,450,168,18.17,33257.395014999995,0,1197.2662205399997,73.90563019439827,1830.3540774617072
North Queen St Storm Pumping Station,Other,Etobicoke,676,168,8.82,18224.993247,2378.8160000000003,5175.112723932001,64.1089204174124,4913.56351498535
Armour Heights Pumping Station,Water Pumping,Toronto,5780,168,24155.99,3661969.253,0,131830.893108,633.5613341185502,151.59736823890142
Eglinton Pumping Station,Water Pumping,Scarborough,10075,168,34983.01,6914382.053193999,0,248917.75391498397,686.2938821954561,197.6505413090303
Ellesmere Pumping Station,Water Pumping,Scarborough,6243,168,87668.6,23157791.902355,0,833680.50848478,3709.4166895970834,264.15259731710773
High Level Pumping Station,Water Pumping,Toronto,46403,168,33577.33,10271604.860839,0,369777.77499020396,221.35740489176533,305.91019771949067
John Street Pumping Station,Water Pumping,Toronto,112773,168,106167.78,44075600.877548,0,1586721.631591728,390.8363218668031,415.1521725883784
Keele Pumping Station,Water Pumping,North York,2745,168,42080.81,7289305.845871001,0,262415.010451356,2655.4958899740222,173.22233621402944
Kennedy Pumping Station,Water Pumping,Scarborough,5360,168,30447.7,3280162.1492250003,0,118085.8373721,611.9731001058375,107.73148108288274
Lawrence Pumping Station,Water Pumping,North York,15629,168,20075.73,4565872.172,0,164371.398192,292.142248158384,227.43338331743772
Milliken Pumping Station,Water Pumping,Markham,1,168,22005.49,4565773.805323,0,164367.85699162798,4565792.8293805225,207.4842609449061
Parkdale Pumping Station,Water Pumping,Toronto,11227,168,7734.47,2821833.6244050004,0,101586.01047858,251.34456061682567,364.8401741871262
Richview Pumping Station,Water Pumping,Etobicoke,2357,168,59005.54,13894846.006838,0,500214.45624616795,5895.164998739793,235.48473417970064
Rosehill Pumping Station,Water Pumping,Toronto,1550,168,35742.68,10868367.201936,0,391261.2192696959,7011.8790237415105,304.0737987973857
Scarborough Pumping Station,Water Pumping,Scarborough,9160,168,15887.84,5473512.017259001,0,197046.43262132403,597.5474698208595,344.5109482194605
St. Albans Pumping Station,Water Pumping,Etobicoke,3240,168,26267.75,4440235.144161,0,159848.465189796,1370.4486559076443,169.03821778191002
Thornhill Pumping Station,Water Pumping,Thornhill,1550,168,1119.43,189373.400129,0,6817.442404643999,122.1768962482799,169.17019303112642
W.H. Johnston Pumping Station,Water Pumping,Etobicoke,1744,168,14569.22,2202779.975064,0,79300.079102304,1263.0671750653075,151.19472101553112
West Toronto Pumping Station,Water Pumping,Toronto,7739,168,27608.78,4454902.977871,0,160376.50720335598,575.6456312142061,161.3588698945314
F.J. Horgan Filtration Plant,Water Treatment,Scarborough,325447,168,91798.4,39659854.369968,250713.73636399998,1904033.135152175,129.99579455595304,460.86578143901477
Island Filtration Plant,Water Treatment,Toronto,64196,168,87810,7770374.278645,30048.658504,336816.6101046838,125.98328198574072,92.10366439308292
R.C. Harris Filtration Plant,Water Treatment,Toronto,115368,168,121785.2,45890654.95193499,43380.56405,1734473.201989804,401.7474849626867,380.57829559893355
R.L. Clark Filtration Plant,Water Treatment,Etobicoke,401612,168,134418.5,54850774.508935004,62882.013953,2094084.2154080346,138.230014611116,412.999941436629
