operation_name,operation_type,city,electricity_quantity,ghg_emissions_kg,year
Leslie Grove Park,Community centres,Toronto,8551.790860000001,7521.23956442,2015
Lisgar Park,Other,Toronto,8017.736027000001,352.780385188,2015
Lithuania Park,Other,Toronto,6984.387195,2501.6030365799998,2015
Livingston Rd Sewage Pumping Station,Sewage Pumping,Toronto,167651.93702800001,7376.685229232,2015
Lakeshore Lodge,Long-term care,Toronto,1565978.84,436822.19696565997,2015
Lillian Park,Other,Toronto,3060.988644,134.68350033599998,2015
Asquith Green Social Housing,Social housing,Toronto,136549.26405300002,19314.741990822,2015
Riverside Sewage Pumping Station,Sewage Pumping,Toronto,2120.7695120000003,93.31385852800001,2015
Little Norway Park,Other,Toronto,95295.25717599998,4192.991315743999,2015
Locke,Public libraries,Toronto,186400.905529,127087.430182466,2015
Logan Ave Parkette,Other,Toronto,908.931921,39.993004524,2015
Long Branch Arena,Indoor sports arenas,Toronto,586057.947586,107477.050639754,2015
Laura Park - Lights,Other,Toronto,7278.56178,320.25671832,2015
Lytton Park Bowling Club,Other,Toronto,2316.019247,101.904846868,2015
Lawrence Pumping Station,Water Pumping,Toronto,4884244.78,214906.77032,2015
Lillian H Smith,Public libraries,Toronto,1005441.87,255712.90034894997,2015
Lakeshore Assembly Hall,Cultural facilities,Toronto,292628.51288600004,93673.997622274,2015
Palaise Royale,Cultural facilities,Toronto,403153.26,17738.74344,2015
Leaside Lawn Bowling Club,Other,Toronto,9921.389844,436.54115313599993,2015
Leaside Park Pool,Other,Toronto,63165.028952,41007.893092467995,2015
Wadsworth Park,Other,Toronto,2698.8136,118.7477984,2015
Lanyard Park - Flood Lights,Other,Toronto,0,976.4888103959998,2015
Lytton Park,Other,Toronto,17623.825935,775.44834114,2015
Main Street,Public libraries,Toronto,83248.097064,23062.209799116,2015
Malta Park,Other,Toronto,454.430042,19.994921848,2015
Malvern R.C,Indoor recreational facilities,Toronto,2525468.29,468001.74476,2015
Maple Leaf A.I.R,Other,Toronto,82529.280235,3631.28833034,2015
Markdale Rec & Daycare,Indoor recreational facilities,Toronto,11732.928498,7539.707838761999,2015
Martingrove Rink (outdoor),Other,Toronto,191433.32529399998,33060.887261936,2015
Maryvale Park,Other,Toronto,32659.980353000003,22497.144522201997,2015
Maria A Shchuka,Public libraries,Toronto,255261.035126,58876.91859936399,2015
Masaryk-Cowan C.R.C,Community centres,Toronto,433302.760645,83621.74176352998,2015
Matty Eckler R.C,Indoor recreational facilities,Toronto,593377.04,300994.06014925,2015
Malvern Childcare Centre,Other,Toronto,151347.998588,19431.931937872,2015
McCormick Arena,Indoor sports arenas,Toronto,1093777.78,48126.22232,2015
McCormick R.C,Indoor recreational facilities,Toronto,1274443.55,323410.2392827,2015
McDairmid Woods,Storage,Scarborough,48416.674524,2130.333679056,2015
McGregor Park C.C,Community centres,Toronto,848538.5781820001,134267.970093728,2015
McNicoll Park,Other,North York,9616.661714,423.13311541599995,2015
Marie Curtis Park,Other,Toronto,50835.384693,2236.756926492,2015
McCleary Park,Other,Toronto,29149.508117,1282.578357148,2015
Mount Dennis,Public libraries,Toronto,131505.868823,22108.580040441997,2015
Metro 27 Lighting,Street lighting,Toronto,346301.450326,15237.263814343998,2015
Moatfield Farm Park,Other,Toronto,25910.968427,1140.082610788,2015
Mainland Ferry Terminal,Other,Toronto,762434.108,48223.89036172,2015
Martin Grove House / Bungalow,Other,Toronto,9646.212856,3219.228047714,2015
MacGregor Park,Other,Toronto,46749.04064399999,2056.957788336,2015
Metro Hall,Administrative Offices,Toronto,9069607.96,1572819.8541187113,2015
Metro Hall Square,Other,Toronto,116606,5130.664,2015
Mimico,Public libraries,Toronto,81851.043273,49479.423310811995,2015
Don Montgomery,Community centres,Toronto,1856620.73,352205.08951183,2015
Milliken Concession,Other,Toronto,161702.33069,7114.90255036,2015
Milliken Park Rec Center,Indoor recreational facilities,Toronto,334035.541144,120409.043812226,2015
Millwood Park,Other,Toronto,17548.855765,772.14965366,2015
Mimico Arena,Indoor sports arenas,Toronto,615952.688681,107934.28091877399,2015
Montgomery's Inn,Cultural facilities,Toronto,290776.94352800003,23624.584010092,2015
Mitchell Field Arena,Indoor sports arenas,Toronto,877625.1731509999,163223.174948104,2015
Mackenzie House Museum,Cultural facilities,Toronto,39536.894795,18732.40435966,2015
Milliken Pumping Station,Water Pumping,Toronto,3676583.52,161769.67488,2015
Maple Leaf Quay Park,Other,Toronto,75236.23540599999,3310.3943578639996,2015
Mel Lastman Square,Other,Toronto,276431.25,12162.974999999999,2015
Memorial Park,Other,Toronto,21522.726867,946.999982148,2015
Memorial Pool and Health Club,Indoor recreational facilities,Toronto,11129.211340999998,489.6852990039999,2015
Monarch Park,Other,Toronto,28631.531119,1259.787369236,2015
Monarch Park Serv Yard,Storage,Toronto,75364.324824,3316.0302922559995,2015
Moorevale Park,Other,Toronto,21073.046176999997,11863.695006088,2015
Morningside Yard,Storage,Toronto,433366.37035499996,115885.26029373,2015
Moss Park Arena,Indoor sports arenas,Toronto,975740.910234,42932.600050295994,2015
Mount Dennis Community Ctr,Community centres,Toronto,45576.82405,11441.16057482,2015
Mount Pleasant,Public libraries,Toronto,56443.725470000005,20223.64759804,2015
Public Health Building,Administrative Offices,Toronto,78677.241706,21575.070708884,2015
Maple Leaf Cottage,Cultural facilities,Toronto,10758.080003,4031.9575294720003,2015
Mt Pleasant Parkette,Other,Toronto,10625.05,467.50219999999996,2015
Mimico Sewage Pumping Station,Sewage Pumping,Toronto,782608.036,34434.753584,2015
Monarch Park Pool,Other,Toronto,448429.908,126097.12213152,2015
East Court & Municipal Services,Administrative Offices,Toronto,1989335.48,329305.72724499996,2015
Martin Ross Serv Bldg,Public libraries,Toronto,1583706.2161899998,127940.85687235999,2015
Maryvale,Public libraries,Toronto,48875.876179,8660.238553226,2015
Morningside,Public libraries,Toronto,114470.336589,13943.716101336,2015
Metro Square Eternal Flame,Other,Toronto,0,2233.98000189,2015
Morningside Park,Other,Toronto,86414.840704,3802.252990976,2015
Morse St Playground,Other,Toronto,1903.479588,83.75310187199999,2015
Main Treatment Plant,Sewage Treatment,Toronto,141794492.95,17779115.34309518,2015
Muirhead Park,Other,Toronto,12228.369671,538.0482655239999,2015
Maintenance Yard #3,Storage,Toronto,465834.71790600003,53141.036676653996,2015
Maintenance Yard #6,Storage,Toronto,122191.021575,47815.347269339996,2015
Nashdene Yard,Storage,Scarborough,29693.31162,81752.74122677,2015
Northern District,Public libraries,Toronto,2610789.21,371358.89331047994,2015
North District Office,Administrative Offices,Toronto,422830.705632,108181.130926818,2015
North District Serv Yard,Storage,Toronto,225665.894667,92744.65031479798,2015
Northern Elms,Public libraries,Toronto,47988.765741999996,5477.842365998,2015
North East District Salt Dome,Storage,Toronto,291584.07742,12829.699406479998,2015
Neilson Pk Creative Arts,Cultural facilities,Toronto,156165.806639,51021.33222277599,2015
New Tor Seniors Club,Community centres,Toronto,48694.368908000004,2142.552231952,2015
Niagara C.C,Community centres,Toronto,58808.762095,2587.58553218,2015
North Linear Park,Other,Toronto,32970.730306000005,1450.712133464,2015
Northline Parks and Garage,Storage,Toronto,622436.626867,270098.231705888,2015
Norseman Community School and Pool,Indoor swimming pools,Toronto,385026.250267,217043.503196858,2015
Northern Services Building,Storage,Toronto,220369.205651,115193.60504919398,2015
North Toronto Memorial Arena,Indoor sports arenas,Toronto,1158765.987923,170432.792000992,2015
North Toronto Mem Rec Ctr,Community centres,Toronto,1707662.98,508981.37259760994,2015
Norwood Park,Other,Toronto,8592.837252,11823.727500408,2015
Northwood C.C,Community centres,Toronto,332891.83055199997,123939.51787824799,2015
North Queen St Storm Pumping Station,Other,Etobicoke,20476.213434999998,4761.10657313,2015
Neilson Park,Other,Toronto,146402.05339400002,16067.460351226,2015
New Toronto,Public libraries,Toronto,123309.50701500001,25376.06363319,2015
New Toronto Pumping Station,Sewage Pumping,Toronto,277107.59655200003,12192.734248288001,2015
North Toronto Treatment Plant,Sewage Treatment,Toronto,2781965.28,122406.47231999999,2015
Northwood Park,Other,Toronto,18187.464178,800.2484238319998,2015
North York Animal Centre,Other,Toronto,258743.660517,35329.551064218,2015
North York Civic Centre,Administrative Offices,Toronto,5874164.21,1169507.90211541,2015
Herbert Carnegie Centennial Arena,Indoor sports arenas,Toronto,836722.60017,326203.23168012,2015
North York Central Office,Administrative Offices,Toronto,523358.602487,86932.758681118,2015
North York Memorial Hall,Community centres,Toronto,231193.03,37004.61974243,2015
Oakridge C.C,Community centres,Toronto,322632.578119,66590.426778746,2015
Oakdale VIllage Park,Other,North York,2565.992056,112.903650464,2015
Oates Park,Other,Toronto,4120.910464,181.32006041599996,2015
Old City Hall,Administrative Offices,Toronto,3064423.69,916559.0661940547,2015
Old City Hall - Cenotaph,Other,Toronto,9089.294267,399.9289477479999,2015
O'Connor C.C,Community centres,Toronto,237197.40264699998,82431.99225255799,2015
Otter Creek Park,Other,Toronto,341462.734841,15024.360333003999,2015
Olympic Island Buildings,Other,Toronto,60704.977881,2671.0190267639996,2015
Oakcrest Park,Other,Toronto,4707.908311,207.14796568399998,2015
Ourland Pool (outdoor),Other,Toronto,53443.432338,21234.501022872,2015
Oriole Parks Yard,Storage,Toronto,90993.197248,4003.7006789119996,2015
Oriole Arena & R.C,Indoor recreational facilities,Toronto,1246917.76,216444.67656338,2015
Oriole Yd- Signs and Markings,Storage,Toronto,9615.558964,71248.39559477598,2015
Oriole Yd- Works,Storage,Toronto,239965.39792599998,117327.603313694,2015
Oriole Park WR,Other,Toronto,10133.026688,445.853174272,2015
Osler Playground,Other,Toronto,6816.9875,299.94745,2015
Other Traffic Control Signal Lig,Other,Toronto,41934.768774000004,1845.129826056,2015
Ourland Community Ctr,Community centres,Toronto,224709.38554699998,49119.032492367995,2015
Oakwood Village,Public libraries,Toronto,147462.72499,26267.7253517,2015
Pape Danforth,Public libraries,Toronto,146799.699716,26689.843098123998,2015
Police Academy,Police Station,Toronto,3040172.18,1226877.1065515801,2015
Pape Avenue Multiuse Building,Administrative Offices,Toronto,77227.836118,45571.252436372,2015
Pape Ave Playground,Other,Toronto,6308.073765,277.55524565999997,2015
Borough of North York Park,Other,Toronto,37901.791764,7945.674610266,2015
Parklawn Pool/Rink,Other,Toronto,460307.327271,137772.459127704,2015
Perth Ave Square,Other,Toronto,2726.8854450000003,119.98295958000001,2015
Various TPA Locations Etobicoke,Parking garages,Toronto,164021.456109,7216.944068796,2015
"Radio, Electronics and Telecom",Police Station,Toronto,129503.44475600001,5698.1515692640005,2015
Prairie Drive Park,Other,Toronto,4474.6308,196.8837552,2015
Police Dog Service,Police Station,Toronto,188057.75551699998,30744.125473198,2015
Property Dept Workshop,Administrative Offices,Toronto,135210.196943,192625.40376386198,2015
Perth Dupont,Public libraries,Toronto,26833.812201999997,9928.687735807998,2015
Pedestrian Crossovers,Other,Toronto,2450068.330248,107803.006530912,2015
Pelmo ParkTennis,Indoor recreational facilities,Toronto,106231.414175,21817.307354229997,2015
Perth Square Park WR,Other,Toronto,6794.284304,298.94850937599995,2015
Police Garage,Police Station,Toronto,363280.50248499995,169257.28437205998,2015
Phin Ave Parkette,Other,Toronto,7567.822587999999,332.98419387199993,2015
Police Headquarters,Police Station,Toronto,9964157.95,1451769.416211973,2015
Pine Point Arena,Indoor sports arenas,Toronto,466513.71755,65779.12197112,2015
Pine Point C.C & Pool,Other,Toronto,80751.677698,47062.763818711996,2015
Parkdale,Public libraries,Toronto,276414.699928,57887.19150276199,2015
Parks Various Locations,Other,Toronto,1153238.15252,50742.478710879994,2015
Parliament,Public libraries,Toronto,196979.26954100002,35388.891470614,2015
Pleasantview Arena & R.C,Indoor recreational facilities,Toronto,801333.034941,243012.159820734,2015
14 John St,Parking garages,Toronto,408.65738799999997,17.980925071999998,2015
301 Scott Rd,Parking garages,Toronto,109064.720107,4798.847684708,2015
Park Lights - unknown name,Other,Toronto,907779.5,39942.297999999995,2015
Palmerston,Public libraries,Toronto,280077.65222600003,12323.416697944001,2015
Police Marine Hq,Police Station,Toronto,400118.7816,72141.56219043,2015
Property Maintenance Office,Administrative Offices,Toronto,139238.1052,58079.30443588999,2015
Sunnybrook Stable,Other,Toronto,55672.816741,9581.769083774,2015
Poplar Plains Parkette,Other,Toronto,1363.4486619999998,59.99174112799999,2015
Public Order,Police Station,Toronto,173880.280046,41852.172322023995,2015
Port Union C.C,Community centres,Toronto,432810.815674,79487.765889656,2015
Port Union Park,Other,Toronto,1229.557896,54.100547424,2015
Property Operation Workshop,Storage,Toronto,54224.837167,76911.412730468,2015
Pantry Park / Beaches Park,Other,Toronto,88737.48365499999,3904.4492808199993,2015
Pine Point Park Tennis,Other,Toronto,1361.912271,59.924139923999995,2015
Parkdale Pumping Station,Water Pumping,Toronto,12019876.014742,528874.544648648,2015
Princess Park,Other,Toronto,15184.120445,668.1012995799999,2015
Prince Of Wales Rink (outdoor),Other,Toronto,177078.668218,24185.766107252,2015
Property Bureau,Police Station,Toronto,377045.56503700005,118654.34074464798,2015
Property Evidence Unit,Police Station,Toronto,3588045.07,564426.0463139599,2015
Polson Street Park,Other,Toronto,38130.514744,1677.7426487359999,2015
Pleasant View,Public libraries,Toronto,137386.799528,17736.026546991998,2015
Pharmacy Yard,Storage,Toronto,37197.173191,14657.519647363999,2015
Queen Street Office,Administrative Offices,Toronto,347993.022345,89309.81169902999,2015
Queen's Park Outdoor Ltg,Other,Toronto,24549.187273,1080.164240012,2015
Queensway Rink,Other,Toronto,94410.483818,20326.561259872,2015
Rotherham Ave 15,Police Station,Toronto,182090.461243,63677.50833918199,2015
Ralph Thornton Community Ctr,Community centres,Toronto,213901.91880600003,9411.684427464,2015
Rouge Beach Park,Other,Toronto,29458.836889,1296.1888231159999,2015
R.C. Harris Filtration Plant,Water Treatment,Toronto,47411945.908750005,2175134.66598437,2015
Riverdale,Public libraries,Toronto,164253.276705,42253.704175830004,2015
Riverdale Farm,Cultural facilities,Toronto,69324.687506,25723.952529513997,2015
Ramsden Yard,Storage,Toronto,160957.736171,191285.780253094,2015
Regan Park,Other,Toronto,857.5609119999999,37.73268012799999,2015
Regent Park Childcare Centre,Other,Toronto,327964.571369,14430.441140236,2015
Rennie Park /Ice Rink,Other,Toronto,437216.35768200003,19237.519738008,2015
Richmond Gardens Pool (outdoor),Other,Toronto,40387.461436,23204.274651404,2015
Robertson House,Social housing,Toronto,575242.307055,194216.74103168998,2015
Roundhouse Park,Other,Toronto,27376.354423,1204.559594612,2015
Roundhouse Complex,Cultural facilities,Toronto,179062.069799,7878.731071155999,2015
Rosehill Pumping Station,Water Pumping,Toronto,11239776.41,494550.16203999997,2015
Ridge Park,Other,Toronto,2855.34076,125.63499343999999,2015
R.L. Clark Filtration Plant,Water Treatment,Toronto,48205819.815937,2272239.222785588,2015
Riverlea Greenhouse,Other,Toronto,111947.91730599999,157567.595749664,2015
Ramsden Park,Other,Toronto,451453.33,31243.01593283,2015
Rosetta Mcclain Gardens,Other,Toronto,30494.4464,1341.7556416,2015
Runnymede,Public libraries,Toronto,152957.72400000002,43469.91656166,2015
Runnymede Park,Other,Toronto,30931.679528,1360.9938992319999,2015
Rockcliffe GreenHouse,Other,Toronto,93026.24278799999,95319.252951852,2015
Rockcliffe Yard,Storage,Toronto,73277.212286,73867.36538379398,2015
Roding Arena & R.C,Indoor recreational facilities,Toronto,508062.48208700004,64471.737489807994,2015
Rosehill Reservoir,Other,Toronto,70046.699967,3082.0547985479993,2015
Rosegarden Park,Other,Toronto,10147.513891999999,446.49061124799994,2015
Roseneath Park,Other,Toronto,44616.021799999995,1963.1049591999997,2015
Royalcrest Rink (outdoor),Other,Toronto,212677.339469,9357.802936635999,2015
Roywood A.I.R,Other,Toronto,106428.95849799999,4682.874173912,2015
Regent Park Aquatic Centre,Indoor recreational facilities,Toronto,1088911.68,102314.77000113,2015
Regent Park C.C,Community centres,Toronto,228855.29516100002,10069.632987084,2015
Regent Park North Rink,Other,Toronto,169274.957051,7448.098110244,2015
Regent Park North R.C,Community centres,Toronto,29940.528376000002,1317.383248544,2015
Regent Park South Rink,Other,Toronto,307663.705176,13537.203027744,2015
Rennie Park /Tennis,Other,Toronto,138507.93442099998,6094.349114523999,2015
Health Materials Warehouse,Storage,Toronto,143450.24670299998,44957.72085196199,2015
Ryerson Community Park,Other,Toronto,261161.04427,11491.08594788,2015
Rosedale Park,Other,Toronto,206668.31964200002,11434.702486888,2015
RT Commuter Lot,Parking garages,Toronto,48905.579585,2151.8455017399997,2015
Rowntree Mills Park,Other,Toronto,82547.37663,3632.0845717199995,2015
Rotary Pool (outdoor),Other,Toronto,45124.07653,58292.33936732,2015
Ruddington Park,Other,Toronto,1909.2320000000002,84.006208,2015
Richview,Public libraries,Toronto,603106.016372,83396.45634473799,2015
Ravina Gardens,Other,Toronto,2891.478459,127.225052196,2015
Riverview Gdns Park,Other,Toronto,25814.520329,1135.838894476,2015
Riverdale Park East,Other,Toronto,271456.743159,136487.77406031598,2015
Richview Pumping Station,Water Pumping,Toronto,11598611.02,510338.88487999997,2015
Riverdale Park West,Other,Toronto,279520.5194,12312.470832849998,2015
Humber Sewage Pumping Station,Sewage Pumping,Toronto,10865.490485,478.08158133999996,2015
Crossways Employment Services,Administrative Offices,Toronto,820776.576552,126458.57713189798,2015
Rexdale,Public libraries,Toronto,55611.89893,14137.825371739998,2015
Roxborough Parkette,Other,Toronto,10544.755699,463.96925075599995,2015
Sanderson,Public libraries,Toronto,127391.578847,31124.693018008,2015
St Albans Boys Club,Indoor recreational facilities,Toronto,238511.038305,143129.3823303,2015
SADRA Park,Other,Toronto,454.430042,19.994921848,2015
Salem Parkette,Other,Toronto,40954.033385,1801.97746894,2015
St Andrew's Playground,Other,Toronto,10425.861998,458.737927912,2015
St. Albans Pumping Station,Water Pumping,Toronto,3800378.58,167216.65752,2015
Strachan Sewage Pumping Station,Sewage Pumping,Toronto,209155.04303,19379.46336286,2015
Sunnybrook Park,Community centres,Toronto,614174.244605,149417.77180177,2015
Scadding Cabin,Cultural facilities,Toronto,9543.804975000001,419.9274189,2015
Scarborough Animal Centre,Other,Toronto,356029.692618,139402.142585142,2015
Scadding Court Community Ctr,Community centres,Toronto,795376.95,289152.48737999995,2015
Scarborough Arena Gardens,Indoor sports arenas,Toronto,723838.0178,150473.03670097,2015
Scarborough Village C.C,Community centres,Toronto,1169011.52,232411.38949027,2015
Scarborough Bluffs,Other,Toronto,10556.557695,464.48853857999995,2015
Scarborough Civic Centre,Administrative Offices,Toronto,6554047.67,789114.25851238,2015
Sunshine Center for Seniors,Community centres,Toronto,53377.408619,2348.6059792359997,2015
Sherbourne Common North Park,Other,Toronto,14654.797564999999,644.8110928599999,2015
TW Various Locations,Other,Toronto,74916.31899100001,3296.318035604,2015
Suydam Park,Other,Toronto,1103.396342,48.549439047999996,2015
Seneca Hill Park,Other,Toronto,9162.933223,403.169061812,2015
Seneca Village C.C,Community centres,Toronto,167043.120882,7349.897318807999,2015
Sentinel Park Baseball,Other,Toronto,18582.681333,817.637978652,2015
Smithfield Pool (outdoor),Other,Toronto,15127.032094,13780.893512845998,2015
Seaton House,Social housing,Toronto,1424515.896332,950986.760182768,2015
S.H Armstrong R.C,Indoor swimming pools,Toronto,191515.075859,67189.407253126,2015
Sherwood Park,Other,Toronto,100287.833291,4412.664664804,2015
Spandina House Museum,Cultural facilities,Toronto,89177.82052899999,110910.496065656,2015
Sidney Belsey Cres,Street lighting,Toronto,7637.985,336.07133999999996,2015
Sir Adam Beck Rink,Other,Toronto,257355.505628,23567.543641972,2015
Sixth St Garage,Storage,Toronto,10292.508475,19934.10096158,2015
St James Town,Street lighting,Toronto,1023.4161310000001,45.030309764,2015
St Jamestown West Park,Other,Toronto,1817.864147,79.986022468,2015
Military Trail Sewage Pumping Station,Sewage Pumping,Toronto,7564.803479,332.851353076,2015
St Lawrence,Public libraries,Toronto,49385.620369,2172.9672962359996,2015
Streetlighting Etobicoke,Street lighting,Toronto,18643891.958254002,820331.246163176,2015
Streetlighting East York,Street lighting,Toronto,4560862.77,200677.96187999996,2015
St Lawrence Hall,Administrative Offices,Toronto,1111967.17,203535.20983924996,2015
St Lawrence Market North,Cultural facilities,Toronto,283216.240945,107450.86680358999,2015
St Lawrence Market South,Cultural facilities,Toronto,5464269.579998,668718.3135068619,2015
Streetlighting North York,Street lighting,Toronto,31158974.71,1370994.88724,2015
Streetlighting Scarborough,Street lighting,Toronto,28869173.46,1270243.63224,2015
Streetlighting Toronto,Street lighting,Toronto,28864437.826289,1270035.264356716,2015
Streetlighting York,Street lighting,Toronto,4500543.2,198023.9008,2015
St. Marks Childcare Centre,Other,Toronto,12899.339009,567.5709163959999,2015
Spadina Marina Museum,Cultural facilities,Toronto,75661.77475,3329.1180889999996,2015
Smythe Park,Other,Toronto,78665.423494,34963.798633736,2015
Warren Park Sewage Pumping Station,Sewage Pumping,Toronto,80514.632412,3542.643826128,2015
Snow Storage Facility,Other,Etobicoke,62.256,2.739264,2015
Sunnyside Sewage Pumping Station,Sewage Pumping,Toronto,84769.485219,3729.8573496359995,2015
Sunnyside Park,Other,Toronto,381689.47460600006,153721.54350096404,2015
Seven Oaks,Long-term care,Toronto,2694846.91,924885.4227223101,2015
Seven Oaks Tennis,Other,Toronto,10656.014799999999,468.8646511999999,2015
Spadina Road,Public libraries,Toronto,64544.620423,16225.631014802,2015
Spadina St Clair Reservoir,Other,Toronto,117930.963856,5188.962409664,2015
Stanley Park - Baseball Diamond,Other,Toronto,39806.7035,1751.494954,2015
Scarborough Pumping Station,Water Pumping,Toronto,3399465.69,149576.49036,2015
Spadina Rd 35,Other,Toronto,27451.581223,8258.088410941999,2015
Spadina Road Parkette,Other,Toronto,5908.147832,259.95850460799994,2015
Swansea Sewage Pumping Station,Sewage Pumping,Toronto,226396.676363,9961.453759971999,2015
Steeles,Public libraries,Toronto,87248.898202,16234.107020258,2015
Stanley C.C,Community centres,Toronto,231787.06265299997,48010.928264751994,2015
St Clair Silverthorn,Public libraries,Toronto,35550.78069,5322.33258621,2015
Stephenson Park,Other,Toronto,19972.175294,878.775712936,2015
St Hilda Parkette,Other,Toronto,2137.277488,94.040209472,2015
St James Town C.C.,Community centres,Toronto,879436.99,317869.1797031,2015
St Lawrence C.C,Community centres,Toronto,939326.75,546091.6878987399,2015
St Lawrence Centre,Performing arts facilities,Toronto,1759067.608184,367322.2362761744,2015
Stanley Park,Other,Toronto,11859.697356,10337.649683934,2015
Scarborough Transfer Station,Other,Toronto,1741079.79,235005.38128088997,2015
Sugar Beach Park,Other,Toronto,24302.663453,1069.317191932,2015
Summerlea Rink,Other,Toronto,135555.968429,5964.462610875999,2015
Sunnydale Rink (outdoor),Other,Toronto,238660.127408,47795.018950762,2015
Scarborough Village Fieldhouse,Other,Toronto,8994.198118,395.744717192,2015
Spenvalley Park T.C,Other,Toronto,986.3801880000001,43.400728272,2015
Swansea Town Hall Comm Ctr,Community centres,Toronto,126684.140742,5574.102192648,2015
Sir Winston Churchill Pk,Other,Toronto,55106.922,16527.16695957,2015
Sweeney Park,Other,Toronto,9358.157052,411.758910288,2015
Scarlett Woods Golf Course,Other,Toronto,33417.283558,21192.234270062,2015
Scott Westney House,Community centres,Toronto,153507.57,6754.33308,2015
Stan Wadlow Clubhouse,Indoor recreational facilities,Toronto,109452.685796,83199.45148107398,2015
Scarborough West Office,Administrative Offices,Toronto,484890.21814,100643.97027604998,2015
S Walter Stewart,Public libraries,Toronto,425295.9,75451.14902889,2015
Symington Park,Other,Toronto,4011.131911,176.48980408399999,2015
Taddle Creek Park,Other,Toronto,2475.232399,108.91022555599999,2015
Tall Pines C.C,Community centres,Toronto,49226.201059,13577.772844706,2015
Tam Heather C.C,Community centres,Toronto,866459.368115,38124.21219706,2015
TAVIS - OSSG,Police Station,Toronto,257726.352235,50680.37086286,2015
Taylor Memorial,Public libraries,Toronto,52022.509491,35713.311557604,2015
Thomas Berry Childcare Centre,Other,Toronto,131533.219863,50047.438315482,2015
Talbot Park Clubhouse,Other,Toronto,15750.985260000001,693.04335144,2015
Trinity Bellwoods Outdoor Rink,Other,Toronto,160395.598374,8506.928486945999,2015
Trinity Bellwoods Park,Other,Toronto,54966.310767,15955.050051017999,2015
Time and Clock Monument,Cultural facilities,Toronto,18178.766361,799.865719884,2015
Trace Manes Clubhouse,Indoor recreational facilities,Toronto,88445.95164000001,46090.77788124,2015
Taylor Creek Park,Other,Toronto,24723.565857,1087.836897708,2015
Traffic Control Signals,Other,Toronto,14314.2,629.8248,2015
True Davidson Acres,Long-term care,Toronto,2596223.777479,899395.465518416,2015
Temp - St Lawrence Market North,Cultural facilities,Toronto,93605.70870999999,14106.72845654,2015
The Elms Pool and Community School,Indoor swimming pools,Toronto,417200.999462,170515.00893764797,2015
Thorncliffe,Public libraries,Toronto,197561.28427,17660.102187980003,2015
Thistletown C.C,Community centres,Toronto,368153.47737499996,186576.30506298997,2015
Toronto Island Filtration Plant,Other,Toronto,10300.208012,453.20915252799995,2015
Toronto Island Street Lighting,Street lighting,Toronto,94480.29,4157.1327599999995,2015
Toronto Island Service Office,Administrative Offices,Toronto,50682.330502000004,28420.190937037998,2015
Toronto Island Service Yard,Storage,Toronto,23913.225089,1052.181903916,2015
Tournament Park Tennis,Other,Toronto,9661.978118,425.127037192,2015
The Mission Ground,Other,Toronto,2272.393332,99.985306608,2015
Toronto Admin Office,Administrative Offices,Toronto,192932.79,79382.123256,2015
Toronto Centre for the Arts,Performing arts facilities,Toronto,1831704.411291,422724.703607274,2015
Todmorden Mills Butler Building,Indoor recreational facilities,Toronto,294788.63751699997,67422.931111598,2015
Tam O'shanter Golf Course,Other,Toronto,132012.961429,40408.95817268599,2015
Topham Park Clubhouse,Indoor recreational facilities,Toronto,26946.915589,20709.684287485998,2015
Totts Tot Lot,Other,Toronto,73.6696,3.2414624,2015
Thornhill Pumping Station,Water Pumping,Thornhill,217542.2149,9571.857455599999,2015
Ted Reeve Arena,Indoor sports arenas,Toronto,1045715.174414,46011.467674216,2015
Toronto Reference Library,Public libraries,Toronto,8020682.39,1107750.1349401898,2015
Train Storage Building,Storage,Toronto,208122.149491,140211.54737323397,2015
4005 Eglinton Ave W,Other,Etobicoke,25477.053739,1120.990364516,2015
Traffic Services and Garage,Police Station,Toronto,2870640.93,817310.60771883,2015
Thomson Memorial Park,Other,Toronto,198244.13473000002,20153.09282435,2015
Trinity Square Park,Other,Toronto,66351.657544,2919.472931936,2015
Three Valley Park,Other,Toronto,4268.684,187.822096,2015
Bathurst St,Other,Toronto,2733.900977,120.29164298799998,2015
Steelcase Rd,Other,Toronto,1856.5526149999998,81.68831506,2015
Unknown,Other,Toronto,277259.390701,12199.413190844,2015
Toryork Office,Police Station,Toronto,686891.288,279771.70116030995,2015
University Avenue Islands,Other,Toronto,22398.746528,985.5448472319999,2015
Union Station,Other,Toronto,14253404.804194,3329756.07323075,2015
University Settlement House R.C,Indoor recreational facilities,Toronto,586908.31,399720.96748634,2015
Underpass Park,Other,Toronto,4302.822257,189.32417930799997,2015
Valleyfield Rink (outdoor),Other,Toronto,126142.70191999999,5550.27888448,2015
Vine Avenue Playground,Other,Toronto,5460.8299910000005,240.27651960400001,2015
Vermont Square Park,Other,Toronto,5116.669806,225.133471464,2015
Victoria Village Arena,Indoor sports arenas,Toronto,675603.099277,133681.638795518,2015
Viewmount Park Tennis,Other,Toronto,62789.603508,2762.742554352,2015
Victoria Park Transfer Station,Other,Toronto,951965.643882,233536.533998658,2015
Victoria Village,Public libraries,Toronto,58074.492846999994,23756.074743758,2015
W Acres Senior Ctr,Indoor recreational facilities,Toronto,20444.2572,20436.8714385,2015
Wallace-Emerson C.C,Indoor swimming pools,Toronto,677655.7,161052.48163946,2015
